<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.18	18:00:00	3638.46	3647.20	3636.84	3646.17	17505	0	17
2025.09.18	20:00:00	3646.16	3646.76	3640.45	3641.40	12264	0	17
2025.09.18	22:00:00	3641.39	3647.08	3640.66	3644.51	8210	0	14
2025.09.19	00:00:00	3642.12	3644.23	3639.39	3640.21	1775	0	15
2025.09.19	02:00:00	3640.23	3642.74	3636.22	3640.08	8345	0	16
2025.09.19	04:00:00	3640.01	3651.25	3632.29	3647.25	20543	0	16
2025.09.19	06:00:00	3647.23	3659.99	3645.25	3658.80	13646	0	16
2025.09.19	08:00:00	3658.79	3661.17	3643.29	3647.00	17283	0	14
2025.09.19	10:00:00	3647.04	3657.58	3644.44	3655.71	15114	0	17
2025.09.19	12:00:00	3655.72	3659.16	3655.08	3655.90	9123	0	17
2025.09.19	14:00:00	3655.73	3655.87	3644.48	3649.25	16964	0	17
2025.09.19	16:00:00	3649.10	3669.33	3643.60	3666.89	28612	0	17
2025.09.19	18:00:00	3666.90	3675.84	3665.26	3668.19	19329	0	17
2025.09.19	20:00:00	3668.14	3684.03	3667.99	3683.56	14924	0	17
2025.09.19	22:00:00	3683.59	3685.45	3680.75	3684.95	10339	0	14
2025.09.22	00:00:00	3685.49	3692.14	3683.64	3688.22	4940	0	17
2025.09.22	02:00:00	3688.36	3690.95	3685.68	3690.81	9876	0	16
2025.09.22	04:00:00	3690.74	3696.85	3685.55	3686.46	19767	0	16
2025.09.22	06:00:00	3686.37	3697.42	3686.07	3692.20	11197	0	16
2025.09.22	08:00:00	3692.23	3719.91	3691.94	3714.45	18884	0	16
2025.09.22	10:00:00	3714.43	3722.52	3708.59	3720.25	17467	0	17
2025.09.22	12:00:00	3720.32	3728.31	3719.19	3727.45	13553	0	17
2025.09.22	14:00:00	3727.51	3728.28	3712.12	3721.64	18779	0	17
2025.09.22	16:00:00	3721.64	3726.25	3713.77	3725.82	31741	0	17
2025.09.22	18:00:00	3725.84	3739.49	3723.59	3737.07	20867	0	17
2025.09.22	20:00:00	3737.21	3748.00	3737.21	3747.59	14817	0	17
2025.09.22	22:00:00	3747.58	3748.75	3742.35	3746.38	9933	0	14
2025.09.23	00:00:00	3745.76	3747.71	3738.24	3739.94	3161	0	17
2025.09.23	02:00:00	3740.10	3750.66	3739.05	3747.14	10828	0	16
2025.09.23	04:00:00	3747.20	3759.25	3736.64	3741.94	25058	0	16
2025.09.23	06:00:00	3741.92	3747.52	3739.06	3744.73	12195	0	16
2025.09.23	08:00:00	3744.70	3758.75	3743.26	3753.88	17789	0	16
2025.09.23	10:00:00	3753.87	3775.21	3748.91	3774.34	19936	0	17
2025.09.23	12:00:00	3774.39	3791.09	3774.21	3782.90	19841	0	17
2025.09.23	14:00:00	3782.94	3788.77	3777.54	3784.19	22452	0	17
2025.09.23	16:00:00	3784.27	3788.62	3767.53	3774.05	34539	0	17
2025.09.23	18:00:00	3774.01	3782.05	3765.05	3779.28	24471	0	17
2025.09.23	20:00:00	3779.34	3785.67	3756.19	3756.74	23286	0	17
2025.09.23	22:00:00	3756.75	3768.15	3751.99	3764.17	19682	0	15
2025.09.24	00:00:00	3764.72	3767.51	3761.60	3765.43	2315	0	17
2025.09.24	02:00:00	3765.35	3770.00	3758.88	3765.14	11512	0	16
2025.09.24	04:00:00	3765.32	3771.76	3750.56	3756.91	21380	0	16
2025.09.24	06:00:00	3756.97	3768.27	3752.19	3768.17	12389	0	16
2025.09.24	08:00:00	3768.19	3776.97	3767.97	3771.18	15862	0	16
2025.09.24	10:00:00	3771.44	3779.20	3767.06	3770.09	14841	0	17
2025.09.24	12:00:00	3770.02	3771.70	3759.83	3762.19	13066	0	17
2025.09.24	14:00:00	3762.16	3771.49	3759.68	3768.01	18872	0	17
2025.09.24	16:00:00	3768.02	3772.85	3749.63	3752.75	32041	0	17
2025.09.24	18:00:00	3752.98	3756.58	3732.23	3735.74	25213	0	17
2025.09.24	20:00:00	3735.72	3738.79	3722.76	3724.20	16966	0	17
2025.09.24	22:00:00	3724.23	3737.42	3717.53	3736.08	13790	0	11
2025.09.25	00:00:00	3735.96	3745.08	3734.84	3741.10	3673	0	17
2025.09.25	02:00:00	3741.14	3751.51	3739.08	3748.93	10921	0	16
2025.09.25	04:00:00	3748.77	3750.41	3729.63	3739.64	20970	0	16
2025.09.25	06:00:00	3739.63	3740.72	3731.75	3738.13	11049	0	16
2025.09.25	08:00:00	3738.16	3748.24	3734.12	3740.94	14593	0	16
2025.09.25	10:00:00	3741.05	3761.60	3739.97	3756.45	20873	0	17
2025.09.25	12:00:00	3756.46	3761.13	3750.28	3757.09	15495	0	17
2025.09.25	14:00:00	3757.07	3757.56	3730.63	3738.74	25916	0	17
2025.09.25	16:00:00	3738.64	3745.57	3722.13	3731.45	37989	0	17
2025.09.25	18:00:00	3731.49	3742.74	3727.94	3733.66	23538	0	17
2025.09.25	20:00:00	3733.63	3758.25	3732.32	3755.23	21464	0	17
2025.09.25	22:00:00	3755.33	3756.74	3744.63	3749.26	13842	0	15
2025.09.26	00:00:00	3748.38	3751.54	3746.32	3748.81	2808	0	16
2025.09.26	02:00:00	3749.13	3749.87	3738.04	3749.58	12371	0	16
2025.09.26	04:00:00	3749.60	3753.21	3737.73	3738.43	19355	0	16
2025.09.26	06:00:00	3738.49	3747.72	3734.50	3747.66	10197	0	16
2025.09.26	08:00:00	3747.62	3753.92	3741.41	3743.50	16167	0	15
2025.09.26	10:00:00	3743.55	3755.13	3739.23	3752.91	16185	0	17
2025.09.26	12:00:00	3752.89	3754.95	3742.96	3744.59	12660	0	17
2025.09.26	14:00:00	3744.64	3757.33	3744.39	3752.01	19957	0	17
2025.09.26	16:00:00	3752.12	3783.71	3751.16	3778.89	40281	0	17
2025.09.26	18:00:00	3778.73	3781.13	3771.38	3774.20	24495	0	17
2025.09.26	20:00:00	3774.22	3783.14	3774.11	3778.48	14483	0	17
2025.09.26	22:00:00	3778.46	3778.46	3759.56	3760.23	13783	0	17
2025.09.29	00:00:00	3758.40	3771.05	3756.12	3770.46	5117	0	17
2025.09.29	02:00:00	3770.44	3787.52	3763.92	3787.06	14616	0	16
2025.09.29	04:00:00	3787.07	3798.69	3767.91	3792.82	30475	0	14
2025.09.29	06:00:00	3792.84	3809.02	3792.19	3805.13	20309	0	16
2025.09.29	08:00:00	3805.14	3819.81	3801.23	3817.39	26857	0	15
2025.09.29	10:00:00	3817.34	3819.49	3805.00	3818.69	22835	0	17
2025.09.29	12:00:00	3818.68	3819.73	3806.42	3817.92	18278	0	17
2025.09.29	14:00:00	3817.93	3831.36	3811.71	3813.60	27239	0	17
2025.09.29	16:00:00	3813.63	3830.56	3809.29	3828.23	35562	0	17
2025.09.29	18:00:00	3828.25	3833.53	3821.12	3830.33	20698	0	17
2025.09.29	20:00:00	3830.35	3832.83	3823.32	3824.49	17457	0	17
2025.09.29	22:00:00	3824.44	3834.20	3822.56	3833.26	14070	0	14
2025.09.30	00:00:00	3829.04	3833.45	3825.63	3830.72	2778	0	17
2025.09.30	02:00:00	3830.54	3840.71	3828.09	3839.07	12169	0	16
2025.09.30	04:00:00	3839.06	3851.93	3838.10	3848.02	22191	0	16
2025.09.30	06:00:00	3848.03	3867.21	3845.89	3867.07	15726	0	16
2025.09.30	08:00:00	3867.05	3871.74	3854.73	3855.72	22085	0	14
2025.09.30	10:00:00	3855.67	3859.37	3807.64	3816.36	32221	0	17
2025.09.30	12:00:00	3816.28	3821.41	3793.13	3812.09	26516	0	17
2025.09.30	14:00:00	3811.99	3821.61	3804.49	3819.34	23979	0	17
2025.09.30	16:00:00	3819.32	3854.54	3811.69	3853.90	32298	0	17
2025.09.30	18:00:00	3853.93	3854.01	3831.29	3845.88	26240	0	17
2025.09.30	20:00:00	3845.97	3849.26	3839.70	3847.97	16526	0	17
2025.09.30	22:00:00	3847.94	3860.76	3847.03	3858.59	14731	0	14
2025.10.01	00:00:00	3859.08	3861.54	3854.73	3859.99	4203	0	17
2025.10.01	02:00:00	3860.16	3865.32	3858.67	3860.50	9790	0	16
2025.10.01	04:00:00	3860.48	3875.29	3858.29	3863.42	18724	0	16
2025.10.01	06:00:00	3863.35	3866.50	3855.58	3864.89	15993	0	16
2025.10.01	08:00:00	3864.88	3869.95	3853.25	3859.17	17937	0	16
2025.10.01	10:00:00	3859.45	3895.33	3858.97	3892.91	24948	0	17
2025.10.01	12:00:00	3892.92	3895.06	3883.61	3887.67	18191	0	17
2025.10.01	14:00:00	3887.58	3890.98	3864.48	3870.32	26647	0	17
2025.10.01	16:00:00	3870.35	3878.62	3856.39	3873.02	36834	0	17
2025.10.01	18:00:00	3873.04	3876.81	3858.05	3870.84	29773	0	17
2025.10.01	20:00:00	3870.86	3871.89	3855.06	3862.15	21492	0	17
2025.10.01	22:00:00	3862.24	3870.97	3860.34	3865.56	13860	0	14
2025.10.02	00:00:00	3867.25	3870.36	3858.53	3862.11	3722	0	17
2025.10.02	02:00:00	3862.14	3866.56	3855.99	3856.09	12910	0	16
2025.10.02	04:00:00	3856.04	3869.95	3852.83	3866.09	14971	0	16
2025.10.02	06:00:00	3866.07	3869.42	3861.80	3864.28	7875	0	16
2025.10.02	08:00:00	3864.29	3874.28	3862.05	3864.14	12565	0	16
2025.10.02	10:00:00	3864.11	3878.63	3861.75	3874.49	18473	0	17
2025.10.02	12:00:00	3874.47	3883.81	3873.28	3881.72	14688	0	17
2025.10.02	14:00:00	3881.67	3892.06	3879.75	3884.41	19945	0	17
2025.10.02	16:00:00	3884.46	3896.74	3825.16	3839.93	41047	0	17
2025.10.02	18:00:00	3839.88	3845.33	3819.32	3844.96	33973	0	17
2025.10.02	20:00:00	3844.92	3851.40	3840.55	3850.93	16833	0	17
2025.10.02	22:00:00	3850.91	3859.30	3850.65	3856.35	11920	0	14
2025.10.03	00:00:00	3856.22	3858.63	3852.09	3857.16	3215	0	16
2025.10.03	02:00:00	3857.06	3863.69	3856.40	3856.95	10090	0	16
2025.10.03	04:00:00	3856.90	3862.61	3847.45	3848.13	16355	0	16
2025.10.03	06:00:00	3848.12	3851.00	3838.03	3843.99	13510	0	16
2025.10.03	08:00:00	3844.04	3860.96	3843.85	3859.23	14572	0	14
2025.10.03	10:00:00	3859.22	3865.69	3856.90	3864.79	12690	0	17
2025.10.03	12:00:00	3864.62	3867.64	3857.01	3865.79	11688	0	17
2025.10.03	14:00:00	3865.78	3874.84	3854.83	3873.83	19553	0	17
2025.10.03	16:00:00	3874.06	3890.55	3866.38	3879.67	36602	0	17
2025.10.03	18:00:00	3879.63	3891.63	3873.86	3883.86	25024	0	17
