<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.10	21:30:00	19399.82	19434.45	19297.07	19304.32	0	0	0
2025.03.10	22:00:00	19305.20	19465.82	19238.57	19400.57	0	0	0
2025.03.10	22:30:00	19400.70	19516.57	19360.07	19429.07	0	0	0
2025.03.10	23:00:00	19430.07	19454.50	19383.50	19446.00	0	0	0
2025.03.10	23:30:00	19446.25	19452.37	19425.87	19441.00	0	0	0
2025.03.11	01:00:00	19391.34	19430.46	19341.09	19388.21	0	0	0
2025.03.11	01:30:00	19388.46	19412.71	19346.84	19346.84	0	0	0
2025.03.11	02:00:00	19347.71	19370.96	19256.71	19285.09	0	0	0
2025.03.11	02:30:00	19285.71	19299.46	19202.34	19273.71	0	0	0
2025.03.11	03:00:00	19292.34	19298.84	19247.09	19285.84	0	0	0
2025.03.11	03:30:00	19285.59	19290.09	19115.09	19177.21	0	0	0
2025.03.11	04:00:00	19178.21	19195.71	19116.34	19185.21	0	0	0
2025.03.11	04:30:00	19185.71	19241.71	19182.84	19226.96	0	0	0
2025.03.11	05:00:00	19226.84	19388.84	19217.09	19351.34	0	0	0
2025.03.11	05:30:00	19351.21	19371.59	19314.21	19361.96	0	0	0
2025.03.11	06:00:00	19365.09	19463.09	19363.21	19420.21	0	0	0
2025.03.11	06:30:00	19421.21	19439.34	19402.09	19406.09	0	0	0
2025.03.11	07:00:00	19405.71	19464.21	19382.84	19464.21	0	0	0
2025.03.11	07:30:00	19463.46	19464.21	19430.84	19436.59	0	0	0
2025.03.11	08:00:00	19436.21	19461.21	19417.09	19448.59	0	0	0
2025.03.11	08:30:00	19449.84	19460.59	19415.71	19447.46	0	0	0
2025.03.11	09:00:00	19445.84	19489.31	19427.21	19467.31	0	0	0
2025.03.11	09:30:00	19468.94	19484.44	19439.56	19443.44	0	0	0
2025.03.11	10:00:00	19445.44	19452.94	19421.44	19436.06	0	0	0
2025.03.11	10:30:00	19434.56	19464.06	19374.44	19451.94	0	0	0
