direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,SR+BB,candle+macd,1.5,9,3,611,0.3895253682487725,-0.02923915601693656,-17.865124326348237,0.9523425275732098,-0.06445382544183781,0.008235914485914446,5,10
long,SR+BB,candle+macd,2.5,14,5,379,0.2796833773087071,-0.029754786194508463,-11.277063967718707,0.9591820478842341,-0.06351801073378788,0.007179569931333117,6,10
short,SR,candle+macd,2.5,9,3,974,0.282340862422998,-0.03134378975836248,-30.528851224645056,0.957482417074779,-0.0389604579299718,-0.02463876912852879,5,10
long,FIB,macd,1.5,9,3,191,0.387434554973822,-0.031413612565445025,-6.0,0.9487179487179487,-0.0625,-0.009009009009009009,4,10
short,SR+BB+FIB,candle,1.5,9,3,111,0.3873873873873874,-0.03153153153153153,-3.5,0.9485294117647058,-0.1,0.02459016393442623,5,10
long,FIB,macd,1.5,14,3,142,0.3873239436619718,-0.03169014084507042,-4.5,0.9482758620689655,-0.13793103448275862,0.041666666666666664,5,10
short,BB+FIB,candle,2.5,9,3,123,0.2764227642276423,-0.032520325203252036,-4.0,0.9550561797752809,-0.07894736842105263,0.007575757575757576,5,10
short,BB,candle+macd,2.5,9,5,790,0.27974683544303797,-0.032837599694153924,-25.9417037583816,0.9551524318011178,0.012195822153268105,-0.07856030861066912,4,10
long,SR+FIB,candle+macd,1.5,9,5,137,0.3868613138686131,-0.032846715328467155,-4.5,0.9464285714285714,-0.07692307692307693,0.006944444444444444,6,10
short,SR+BB,candle,2.5,9,5,427,0.2810304449648712,-0.032967642594021136,-14.077183387647025,0.9551792230310715,0.09454363199558274,-0.15521469025102666,5,10
short,BB,candle,2.5,9,3,1053,0.27825261158594494,-0.033259183642946805,-35.02192037602298,0.9543701366094337,-0.08596638130003864,0.0203567588013363,5,10
short,SR+BB,candle,1.5,14,5,376,0.3909574468085107,-0.03426561945692408,-12.883872915803453,0.944795359015867,0.049723756906077346,-0.11222498931181259,6,10
short,SR+BB,candle+macd,1.5,9,3,500,0.386,-0.035,-17.5,0.9429967426710097,-0.07520325203252033,0.003937007874015748,4,10
short,SR,candle+macd,2.5,14,3,890,0.28089887640449435,-0.03508643778906824,-31.226929632270732,0.9524144343637811,-0.08604809824322085,0.009639407672804084,4,10
long,SR+BB+FIB,candle,2.5,14,5,109,0.27522935779816515,-0.03669724770642202,-4.0,0.9493670886075949,-0.1875,0.12264150943396226,7,10
short,SR+BB,candle+macd,2.5,14,3,447,0.2751677852348993,-0.03691275167785235,-16.5,0.9490740740740741,-0.11290322580645161,0.034782608695652174,4,10
long,SR,candle,1.5,9,5,637,0.3940345368916798,-0.03710609383231362,-23.636581771183774,0.9409287157236221,-0.08759512723707008,0.009569568469364569,5,10
long,SR+BB+FIB,macd,1.5,9,5,65,0.38461538461538464,-0.038461538461538464,-2.5,0.9375,0.034482758620689655,-0.09722222222222222,5,10
