symbol,tf,direction,k,tol,ttol,bottoms,entry,tp,slatr,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos,q_n
US100,M10,long,3,0.5,0.4,2,touch,2.5R,0.5,208,0.3076923076923077,-0.06279061141336034,-13.06044717397895,0.909800760123532,-0.22979057805295638,0.00527885108350774,-0.09135592772231162,-0.03634124446062766,1,4
US100,M10,long,3,0.5,0.4,2,touch,2.5R,1.0,202,0.3069306930693069,-0.09630893666578445,-19.45440520648846,0.860597982040637,-0.23646846934920615,0.006074043298768472,-0.0768185178893412,-0.11504244597518133,0,4
US100,M10,long,3,0.5,0.4,2,touch,3.5R,0.5,200,0.28,-0.08869294467360543,-17.738588934721086,0.8774921549714813,-0.2529739686501414,0.005288659067225663,-0.11099787774076487,-0.06810377568853518,2,4
US100,M10,long,3,0.5,0.4,2,touch,3.5R,1.0,194,0.28865979381443296,-0.07215384670818849,-13.997846261388567,0.8981276867975662,-0.21364758848460463,0.006003816184113278,-0.014060821036973531,-0.12564544460346563,2,4
US100,M10,long,3,0.5,0.4,2,touch,measured,0.5,247,0.6194331983805668,0.04055700453828474,10.01758012095633,1.1075659910418134,-0.1283396978834078,0.005128740868432108,0.09185104923786372,-0.00870156219702523,2,4
US100,M10,long,3,0.5,0.4,2,touch,measured,1.0,246,0.6422764227642277,0.023146251041044646,5.693977756096983,1.0657356401996203,-0.121369763177118,0.005851278056910586,0.06207343797916461,-0.014535265915055478,2,4
US100,M10,long,3,0.5,0.4,2,confirm,1.5R,0.5,180,0.3611111111111111,-0.13903663265118454,-25.026593877213216,0.7808005032082536,-0.2754691231453602,0.006254867205390623,-0.09895953143819973,-0.17489509163122355,1,4
US100,M10,long,3,0.5,0.4,2,confirm,1.5R,1.0,172,0.36627906976744184,-0.1546748687036263,-26.60407741702372,0.7539665355810669,-0.27479165276060824,0.007010196553828301,-0.05949169552403265,-0.23939835252282501,0,4
US100,M10,long,3,0.5,0.4,2,confirm,2.5R,0.5,169,0.2958579881656805,-0.15952919256073506,-26.960433542764225,0.7743295798938926,-0.29311602567597295,0.006290304963234651,-0.10738476553359551,-0.20530041184011308,0,4
US100,M10,long,3,0.5,0.4,2,confirm,2.5R,1.0,165,0.3151515151515151,-0.11907146152711287,-19.646791151973623,0.8247886373021851,-0.23719861156000324,0.006953421608331662,-0.02397945372616414,-0.20027362549196798,1,4
US100,M10,long,3,0.5,0.4,2,confirm,3.5R,0.5,164,0.2804878048780488,-0.14237623678456912,-23.349702832669337,0.8013592448150825,-0.27544781587382683,0.006245627736110086,-0.08766798234469221,-0.18847869839120693,0,4
US100,M10,long,3,0.5,0.4,2,confirm,3.5R,1.0,158,0.2911392405063291,-0.12856431203089252,-20.31316130088102,0.8147934205803731,-0.24676905791785347,0.006927907064504825,-0.03550638310553888,-0.20848465099031394,1,4
US100,M10,long,3,0.5,0.4,2,confirm,measured,0.5,189,0.656084656084656,-0.009232230074237686,-1.7448914840309229,0.9727910962244452,-0.14625186312816058,0.006185332986010735,0.08861884565196171,-0.09631968747055514,1,4
US100,M10,long,3,0.5,0.4,2,confirm,measured,1.0,188,0.675531914893617,-0.01743573123738823,-3.277917472628987,0.9451162096142657,-0.13675390906977797,0.006962621610141521,0.07854715128439282,-0.10372337310040351,1,4
US100,M10,long,3,0.5,0.4,3,touch,1.5R,0.5,29,0.5172413793103449,0.29310344827586143,8.499999999999982,1.6071428571428557,0.12648967491822452,0.004463962403413338,0.5000000000000033,0.07142857142856661,3,4
US100,M10,long,3,0.5,0.4,3,touch,1.5R,1.0,29,0.5172413793103449,0.2472898180487629,7.171404723414124,1.51224319452958,0.10121409367021127,0.005033098772978062,0.41142698156094004,0.07142857142857305,3,4
US100,M10,long,3,0.5,0.4,3,touch,2.5R,0.5,29,0.41379310344827586,0.36858214819053875,10.688882297525623,1.6287577822073895,0.20196837483290175,0.004463962403413338,0.7125921531683719,3.1720657846433046e-15,3,4
US100,M10,long,3,0.5,0.4,3,touch,2.5R,1.0,29,0.3793103448275862,0.24728981804876113,7.1714047234140725,1.398411373523004,0.10121409367020949,0.005033098772978062,0.4780936482276047,0.0,3,4
US100,M10,long,3,0.5,0.4,3,touch,3.5R,0.5,29,0.3448275862068966,0.3405264338805424,9.87526658253573,1.5197508727650384,0.17391266052290538,0.004463962403413338,0.47503501579241614,0.1964100961178205,3,4
US100,M10,long,3,0.5,0.4,3,touch,3.5R,1.0,29,0.3103448275862069,0.16214698828596044,4.702262660292853,1.2368937154913136,0.0160712639074088,0.005033098772978062,0.45772096973977827,-0.15453942041455856,3,4
US100,M10,long,3,0.5,0.4,3,touch,measured,0.5,29,0.5862068965517241,0.010950146736935491,0.31755425537112925,1.0264628546142607,-0.15566362662070146,0.004463962403413338,0.14331339571934099,-0.13086762002992755,2,4
US100,M10,long,3,0.5,0.4,3,touch,measured,1.0,29,0.5862068965517241,-0.03901500394621067,-1.1314351144401096,0.9057137404633244,-0.18509072832476228,0.005033098772978062,0.08913794558610293,-0.17632173558797515,2,4
US100,M10,long,3,0.5,0.4,3,confirm,1.5R,0.5,21,0.5238095238095238,0.3095238095238094,6.499999999999997,1.6499999999999997,0.17137370343131011,0.005700965020609527,0.500000000000003,0.13636363636363338,3,4
US100,M10,long,3,0.5,0.4,3,confirm,1.5R,1.0,21,0.5238095238095238,0.24248418071461667,5.09216779500695,1.509216779500695,0.11961292567027056,0.0063263968255889876,0.3592167795006934,0.13636363636363777,3,4
