direction,level,closeback,div,entry,rr,trades,avg_r,winrate,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
short,PD,2,True,next_open,1.5,639,-0.17907710172809338,0.3302034428794992,0.7344575758527997,0.0029080853190113633,-0.24460617324770162,-0.10361938300854455,0
long,PW,1,False,next_open,1.5,171,-0.18128654970760233,0.32748538011695905,0.7304347826086957,0.004654343019228529,-0.09883720930232558,-0.2647058823529412,1
long,PW,1,False,next_open,2.5,171,-0.18128654970760233,0.23391812865497075,0.7633587786259542,0.004654343019228529,-0.023255813953488372,-0.3411764705882353,2
long,PW,2,False,next_open,1.5,213,-0.19014084507042253,0.323943661971831,0.71875,0.0048728461908153055,-0.12037037037037036,-0.2619047619047619,0
short,PD,1,True,break,1.5,402,-0.1982412183497754,0.3208955223880597,0.7082905543221892,0.004435334130729294,-0.3107476635514019,-0.07017537115217937,1
long,PW,1,False,break,1.5,91,-0.2032967032967033,0.31868131868131866,0.7016129032258065,0.008242028312922546,0.041666666666666664,-0.47674418604651164,1
short,PW,2,False,break,1.5,173,-0.2060204827396375,0.3179190751445087,0.6983148987743961,0.004502235494966625,-0.2688679245283019,-0.10659020170085504,1
long,PW,2,False,next_open,2.5,213,-0.20606765068270946,0.2300469483568075,0.7323633561255054,0.0048728461908153055,-0.06018518518518518,-0.35611818662302014,1
short,PW,2,True,break,2.5,102,-0.2107843137254902,0.22549019607843138,0.7278481012658228,0.00502970181948286,-0.288135593220339,-0.10465116279069768,2
short,PW,1,False,break,2.5,120,-0.2125,0.225,0.7258064516129032,0.004765662840441371,-0.43243243243243246,0.14130434782608695,2
short,PW,2,False,next_open,3.5,266,-0.22351009101701602,0.17293233082706766,0.7303121314418594,0.00274060223563664,-0.4036144578313253,0.07546315789473738,2
short,PW,2,False,next_open,1.5,266,-0.24042738425009874,0.30451127819548873,0.6551501013162602,0.00274060223563664,-0.27710843373493976,-0.17953684210526263,0
short,PW,1,False,next_open,2.5,202,-0.27340020844189666,0.2079207920792079,0.6553209101569815,0.0025326082623116915,-0.3488372093023256,-0.14009372746935797,0
short,PW,1,True,break,2.5,82,-0.27439024390243905,0.2073170731707317,0.6538461538461539,0.005301632239046715,-0.4166666666666667,-0.07352941176470588,2
short,PW,1,True,next_open,3.5,118,-0.2754237288135593,0.16101694915254236,0.6717171717171717,0.0032132901876162625,-0.46710526315789475,0.07142857142857142,2
short,PW,1,True,break,3.5,82,-0.2865853658536585,0.15853658536585366,0.6594202898550725,0.005301632239046715,-0.34375,-0.20588235294117646,1
short,PW,2,True,next_open,3.5,146,-0.2910958904109589,0.15753424657534246,0.6544715447154471,0.0032318095013647583,-0.4065934065934066,-0.1,2
short,PW,1,False,next_open,1.5,202,-0.30805367378843135,0.27722772277227725,0.5744499353923789,0.0025326082623116915,-0.3798449612403101,-0.18118961788031687,0
short,PW,2,True,break,1.5,102,-0.3137254901960784,0.27450980392156865,0.5675675675675675,0.00502970181948286,-0.3220338983050847,-0.3023255813953488,1
short,PW,2,True,next_open,2.5,146,-0.3287671232876712,0.1917808219178082,0.5932203389830508,0.0032318095013647583,-0.38461538461538464,-0.23636363636363636,1
short,PW,2,True,next_open,1.5,146,-0.3321917808219178,0.2671232876712329,0.5467289719626168,0.0032318095013647583,-0.3956043956043956,-0.22727272727272727,0
short,PW,1,False,break,1.5,120,-0.3333333333333333,0.26666666666666666,0.5454545454545454,0.004765662840441371,-0.4594594594594595,-0.13043478260869565,1
short,PW,1,True,next_open,1.5,118,-0.3432203389830508,0.2627118644067797,0.5344827586206896,0.0032132901876162625,-0.47368421052631576,-0.10714285714285714,1
short,PW,1,True,next_open,2.5,118,-0.3474576271186441,0.1864406779661017,0.5729166666666666,0.0032132901876162625,-0.4934210526315789,-0.08333333333333333,1
short,PW,1,False,next_open,3.5,202,-0.35508337675872836,0.14356435643564355,0.5859369065812702,0.0025326082623116915,-0.5465116279069767,-0.016806056236481248,0
short,PW,2,True,break,3.5,102,-0.38235294117647056,0.13725490196078433,0.5568181818181818,0.00502970181948286,-0.4661016949152542,-0.26744186046511625,1
short,PW,1,True,break,1.5,82,-0.3902439024390244,0.24390243902439024,0.4838709677419355,0.005301632239046715,-0.4791666666666667,-0.2647058823529412,1
