symbol,tf,direction,detector,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
XAUUSD,H2,long,spring,SR,candle,1.5,149,0.4161073825503356,0.03670554296755172,5.4691259021652066,1.0624822493609771,93.0,87.5308740978348,7.4691259021652066,-2.0,72,77
XAUUSD,H2,long,spring,SR,candle,2.5,142,0.31690140845070425,0.10541637959271272,14.969125902165207,1.153480895569022,112.5,97.5308740978348,18.969125902165207,-4.0,68,74
XAUUSD,H2,long,spring,BB,self,1.5,108,0.3611111111111111,-0.09722222222222222,-10.5,0.8478260869565217,58.5,69.0,-11.5,1.0,49,59
XAUUSD,H2,long,spring,BB,self,2.5,97,0.26804123711340205,-0.061855670103092786,-6.0,0.9154929577464789,65.0,71.0,-13.5,7.5,45,52
XAUUSD,H2,long,spring,BB,candle,1.5,83,0.3855421686746988,-0.03614457831325301,-3.0,0.9411764705882353,48.0,51.0,-4.5,1.5,37,46
XAUUSD,H2,long,spring,BB,candle,2.5,81,0.3333333333333333,0.16666666666666666,13.5,1.25,67.5,54.0,3.5,10.0,35,46
XAUUSD,H2,long,spring,SR+BB,self,1.5,101,0.33663366336633666,-0.15841584158415842,-16.0,0.7611940298507462,51.0,67.0,-13.5,-2.5,46,55
XAUUSD,H2,long,spring,SR+BB,self,2.5,92,0.25,-0.125,-11.5,0.8333333333333334,57.5,69.0,-17.5,6.0,42,50
XAUUSD,H2,long,spring,SR+BB,candle,1.5,78,0.3717948717948718,-0.07051282051282051,-5.5,0.8877551020408163,43.5,49.0,-7.5,2.0,35,43
XAUUSD,H2,long,spring,SR+BB,candle,2.5,76,0.3157894736842105,0.10526315789473684,8.0,1.1538461538461537,60.0,52.0,-1.5,9.5,33,43
XAUUSD,H2,long,pinbar,none,self,1.5,414,0.3864734299516908,-0.033816425120772944,-14.0,0.9448818897637795,240.0,254.0,3.0,-17.0,192,222
XAUUSD,H2,long,pinbar,none,self,2.5,350,0.29714285714285715,0.03359493068364369,11.758225739275293,1.0477976656068102,257.7582257392753,246.0,27.0,-15.241774260724707,169,181
XAUUSD,H2,long,pinbar,none,candle,1.5,306,0.4411764705882353,0.09788136179171697,29.95169670826539,1.1735844174464283,202.5,172.5483032917346,28.45169670826539,1.5,155,151
XAUUSD,H2,long,pinbar,none,candle,2.5,260,0.3730769230769231,0.2836905960612931,73.75955497593621,1.4482547282493992,238.30785826767084,164.5483032917346,60.95169670826539,12.807858267670827,144,116
XAUUSD,H2,long,pinbar,SR,self,1.5,337,0.3857566765578635,-0.03560830860534125,-12.0,0.9420289855072463,195.0,207.0,11.0,-23.0,154,183
XAUUSD,H2,long,pinbar,SR,self,2.5,295,0.2983050847457627,0.03646856182805184,10.758225739275293,1.0519721050206536,217.7582257392753,207.0,30.0,-19.241774260724707,138,157
XAUUSD,H2,long,pinbar,SR,candle,1.5,249,0.44176706827309237,0.0981995851737566,24.45169670826539,1.1739736171521848,165.0,140.5483032917346,27.95169670826539,-3.5,128,121
XAUUSD,H2,long,pinbar,SR,candle,2.5,230,0.3565217391304348,0.23134748890235077,53.20992244754068,1.3558042537182136,202.7582257392753,149.5483032917346,52.45169670826539,0.758225739275292,121,109
XAUUSD,H2,long,pinbar,BB,self,1.5,87,0.3563218390804598,-0.10919540229885058,-9.5,0.8303571428571429,46.5,56.0,-3.5,-6.0,41,46
XAUUSD,H2,long,pinbar,BB,self,2.5,84,0.2619047619047619,-0.08333333333333333,-7.0,0.8870967741935484,55.0,62.0,-1.5,-5.5,40,44
XAUUSD,H2,long,pinbar,BB,candle,1.5,75,0.41333333333333333,0.026255012028869422,1.9691259021652066,1.0442193408968128,46.5,44.5308740978348,8.969125902165207,-7.0,38,37
XAUUSD,H2,long,pinbar,BB,candle,2.5,70,0.32857142857142857,0.11455369186515345,8.018758430560741,1.1687063110612144,55.549632528395534,47.5308740978348,13.969125902165207,-5.9503674716044666,38,32
XAUUSD,H2,long,pinbar,SR+BB,self,1.5,73,0.3561643835616438,-0.1095890410958904,-8.0,0.8297872340425532,39.0,47.0,-3.5,-4.5,36,37
XAUUSD,H2,long,pinbar,SR+BB,self,2.5,71,0.23943661971830985,-0.1619718309859155,-11.5,0.7870370370370371,42.5,54.0,-3.5,-8.0,35,36
XAUUSD,H2,long,pinbar,SR+BB,candle,1.5,62,0.4032258064516129,-0.0004979693199160233,-0.030874097834793446,0.9991773680049574,37.5,37.5308740978348,3.9691259021652066,-4.0,33,29
XAUUSD,H2,long,pinbar,SR+BB,candle,2.5,61,0.29508196721311475,0.024084031183036172,1.4691259021652066,1.0337490558738465,45.0,43.5308740978348,4.9691259021652066,-3.5,33,28
XAUUSD,H2,long,wbottom,none,self,1.5,104,0.41346153846153844,0.03365384615384615,3.5,1.0573770491803278,64.5,61.0,15.0,-11.5,50,54
XAUUSD,H2,long,wbottom,none,self,2.5,104,0.36538461538461536,0.27884615384615385,29.0,1.4393939393939394,95.0,66.0,34.0,-5.0,50,54
XAUUSD,H2,long,wbottom,none,candle,1.5,98,0.5306122448979592,0.32653061224489793,32.0,1.6956521739130435,78.0,46.0,25.0,7.0,50,48
XAUUSD,H2,long,wbottom,none,candle,2.5,96,0.4583333333333333,0.5923761535503717,56.868110740835675,2.09361751424684,108.86811074083568,52.0,43.0,13.868110740835672,48,48
XAUUSD,H2,long,wbottom,SR,self,1.5,86,0.43023255813953487,0.0755813953488372,6.5,1.1326530612244898,55.5,49.0,13.5,-7.0,39,47
XAUUSD,H2,long,wbottom,SR,self,2.5,86,0.37209302325581395,0.3023255813953488,26.0,1.4814814814814814,80.0,54.0,27.5,-1.5,39,47
XAUUSD,H2,long,wbottom,SR,candle,1.5,80,0.525,0.3125,25.0,1.6578947368421053,63.0,38.0,18.5,6.5,39,41
XAUUSD,H2,long,wbottom,SR,candle,2.5,80,0.45,0.5608513842604459,44.868110740835675,2.019729789564447,88.86811074083568,44.0,31.0,13.868110740835673,39,41
XAUUSD,H2,long,wbottom,BB,self,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,wbottom,BB,self,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,wbottom,BB,candle,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,wbottom,BB,candle,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,wbottom,SR+BB,self,1.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
XAUUSD,H2,long,wbottom,SR+BB,self,2.5,0,,,0.0,,0.0,0.0,0.0,0.0,0,0
