direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,piv3,1,none,False,break,2.5,2780,0.27841726618705037,-0.03667893660006475,-101.96744374818,0.9498552814307575,0.0037784654175997924,-0.07354232784918638,0.0002906892059707706,3
long,major,1,none,True,break,2.5,554,0.2779783393501805,-0.037359943542379696,-20.69740872247835,0.948860422347306,0.004415100111557174,-0.054033795245035474,-0.022290448704584263,3
long,piv3,1,1.0,True,next_open,3.5,1384,0.22254335260115607,-0.03784082667285472,-52.371704115230926,0.953229305125613,0.002832224636815587,-0.12191520000841294,0.04243357498652007,2
long,piv3,2,none,True,break,2.5,1064,0.2791353383458647,-0.037995655778416515,-40.42737774823517,0.9480364897556086,0.004309158894197995,-0.13677698420609016,0.05328329327500344,5
long,piv3,1,1.0,False,break,2.5,2757,0.27783822996010155,-0.03819764534893598,-105.3109082270165,0.9477833418250161,0.0036776167052697227,-0.0781673335985996,0.0018591228315547768,3
long,piv3,1,none,True,next_open,3.5,1424,0.22191011235955055,-0.0412320090064622,-58.71438082520217,0.9489781183537591,0.0029606528908319575,-0.12879583362633495,0.0439062249037188,2
long,piv3,1,1.0,True,break,2.5,979,0.27783452502553624,-0.041371429772058065,-40.502629746844846,0.9435892995423912,0.0040655663159158755,-0.13972871566092324,0.04870921562126661,4
long,piv3,1,none,True,break,2.5,1011,0.27695351137487634,-0.04401842704930252,-44.502629746844846,0.9400230472579962,0.004220819164427883,-0.14804302439532122,0.05342990264840467,5
long,major,1,1.0,True,break,2.5,515,0.2757281553398058,-0.04601438586889,-23.69740872247835,0.9372626157740189,0.004165691747759569,-0.0914028318907174,-0.0054651491655662784,3
long,piv3,2,1.0,False,next_open,2.5,5068,0.2760457774269929,-0.04776904723433524,-242.093531383611,0.9352469723373781,0.002247470421335428,-0.0983492722899818,0.003252226157111664,1
long,major,1,1.0,True,next_open,3.5,777,0.2175032175032175,-0.04855305620850726,-37.72572467401014,0.9396382896637463,0.0027734873839996817,-0.14058658010497524,0.03382817127930675,3
long,piv3,2,none,False,next_open,2.5,5233,0.2753678578253392,-0.05055664954872252,-264.56294708846497,0.9314850789341234,0.0024588834290944724,-0.08196787055694803,-0.018916501344809905,2
long,piv5,2,none,False,break,2.5,2075,0.27325301204819274,-0.056763438607697114,-117.78413511097152,0.9230616007385043,0.004113613488629606,-0.05740850609497922,-0.056102637767066685,5
long,piv3,1,1.0,False,next_open,2.5,4666,0.2728246892413202,-0.0604062762559772,-281.8556850103896,0.9186207530062406,0.0021727218066326676,-0.12819582349462064,0.006804615009651775,1
long,piv5,2,1.0,False,break,2.5,1956,0.2714723926380368,-0.06194092173714545,-121.15644291785651,0.9162524186459365,0.003870100844317284,-0.07026793267696999,-0.053354502356827954,5
long,major,2,none,False,break,2.5,1140,0.2719298245614035,-0.06199386367277368,-70.673004586962,0.9160926933480529,0.004376023312367565,-0.0846841354160033,-0.040990031045594906,3
long,piv3,1,none,False,next_open,2.5,4767,0.2720788756031047,-0.06257913365326861,-298.31473012513146,0.9157289361869859,0.0022732807571509265,-0.1182167565295368,-0.0076143594272972326,1
long,major,2,none,False,break,3.5,1100,0.21545454545454545,-0.06435243996913409,-70.7876839660475,0.9192352505999744,0.004375010665398893,-0.12159925168000708,-0.010538417673022443,3
long,piv5,1,none,False,break,2.5,1781,0.27063447501403703,-0.06579310138988671,-117.17751357538825,0.9112430713542111,0.003988415161684482,-0.09215146217205017,-0.03886628560788091,5
long,major,1,none,False,break,2.5,957,0.27063740856844304,-0.06699521618524251,-64.11442188927708,0.9097794374890181,0.004218714812851102,-0.09965826879101575,-0.036763819407263275,2
