direction,k,tol,bottoms,entry,tp,trades,avg_r,net05,winrate,pf,h1_avg_r,h2_avg_r,pos_ds,n_ds
long,3,0.5,2,confirm,2.5R,560,0.045227473087526365,-0.04487536628704632,0.3357142857142857,1.1275656868252029,0.12289248476382604,-0.021122106424014422,8,12
long,5,1.0,3,touch,3.5R,108,0.03744599819936971,-0.044908830564496696,0.3148148148148149,1.1532052437331546,-0.11282699584189396,0.14478385108598674,6,7
long,3,0.5,2,touch,1.5R,746,0.06562724599898556,-0.046177532835950136,0.4356568364611261,1.221983094332366,0.10977610617975664,0.02639623353455354,8,12
long,3,0.5,2,touch,measured,798,0.06052790580860811,-0.05164285682835192,0.6115288220551377,1.2352699882308287,0.13649282618440856,-0.007156478222910774,11,12
short,3,0.5,2,touch,2.5R,895,0.07217568422939369,-0.05199082344560748,0.31843575418994413,1.1116501603241375,0.022681947832540957,0.11535327434966065,8,12
long,5,1.0,3,confirm,measured,81,0.016183375160103562,-0.05403410704612371,0.6296296296296295,1.3138592708218328,-0.03341876883865142,0.05028484915924761,5,7
long,3,1.0,2,touch,measured,1225,0.05015079083636959,-0.05459257302688148,0.6040816326530611,1.1580583313946047,0.10819722071249212,-0.0015356135440666684,11,12
short,3,0.5,2,touch,measured,1018,0.06618540655216526,-0.05583762539193143,0.6335952848722987,1.2050684283799942,0.04754777891992042,0.08236081548804015,9,12
short,5,0.5,3,confirm,measured,24,0.0342935852004179,-0.06100223829916417,0.6249999999999999,1.1040464022028225,0.12542533854605115,-0.11759267037563746,2,3
long,5,1.0,2,confirm,1.5R,576,0.01335333515354771,-0.06335908489232063,0.4166666666666667,1.1284135271328402,0.09896859918755507,-0.06166459978178776,9,12
long,3,1.0,2,confirm,1.5R,873,0.024900037493770448,-0.06390424141573099,0.42038946162657503,1.0632128700555423,0.11338003287861158,-0.05166918928157286,10,12
long,3,0.5,3,confirm,measured,64,0.03135374703335657,-0.06537773832391286,0.65625,1.1849706954577022,0.017829467151618,0.03894053818652698,3,5
long,5,1.0,2,touch,measured,784,0.02084573446096011,-0.06695792143014465,0.5752551020408162,1.0739527187231326,0.0927476176484916,-0.04440828604743225,10,12
long,5,1.0,3,touch,2.5R,111,0.013133221648096629,-0.06826968670224008,0.34234234234234234,1.1194334213781711,-0.1502733130136714,0.1331348955403326,3,7
long,5,1.0,3,confirm,2.5R,80,0.0007966010123736447,-0.06958071191090481,0.3375000000000001,1.111227652272043,-0.13251534388510378,0.0993315168061613,4,7
short,5,0.5,2,touch,measured,617,0.038573398726630514,-0.07080431406878902,0.6110210696920584,1.145673750190712,-0.03660899156368731,0.1074516755454,7,12
short,5,0.5,2,touch,2.5R,570,0.03833177992817341,-0.07208321403746756,0.3087719298245614,1.0705544959571258,-0.05604094382243813,0.12447064187504034,6,12
short,3,1.0,2,touch,1.5R,1275,0.04306431779295455,-0.07335466438703724,0.4235294117647059,1.0907599511661614,0.0006408350496001715,0.08271965219341935,6,12
short,3,1.0,3,confirm,measured,230,0.01713854261682926,-0.07347601610593725,0.6695652173913045,1.1703118688801653,0.009203747598850742,0.025645214753220683,6,10
long,3,0.5,2,confirm,1.5R,598,0.01760394223328782,-0.07394421402157626,0.4163879598662207,1.0921823835774536,0.06911016311622158,-0.028052991735495737,9,12
long,5,1.0,3,touch,measured,115,0.0041547830872709,-0.07629579427994852,0.5565217391304348,1.1680664745948093,-0.07720826940361039,0.06039101054420355,5,7
short,3,1.0,2,touch,2.5R,1176,0.04030457741130531,-0.07785368760405835,0.3137755102040816,1.0639777552981375,0.03679090447685567,0.043632095488300666,6,12
short,3,1.0,3,confirm,1.5R,224,0.008811628415778821,-0.08292252536420125,0.41517857142857145,1.0606609806455036,-0.03146258700925544,0.05612405624518798,4,9
short,3,0.5,2,touch,1.5R,942,0.03931317548158557,-0.08338055330806547,0.42356687898089174,1.0866824340205485,0.013243948877520539,0.062162696807857735,10,12
long,5,0.5,2,confirm,1.5R,383,-0.008477936697298023,-0.08397257125209377,0.4073107049608356,1.3182379553896613,0.0242221039545938,-0.036871142726745555,7,11
short,5,1.0,2,confirm,measured,674,0.0034899690620384164,-0.0841687268021385,0.672106824925816,1.0743833365381315,-0.06220994521986344,0.06503644048703841,6,12
long,3,1.0,3,confirm,measured,177,0.0009489402923769721,-0.08558650869141045,0.6327683615819208,1.1456168839558853,0.006134037005662613,-0.0032308825683328816,5,8
short,5,1.0,3,confirm,measured,96,-0.0065436332542097506,-0.08650681150539923,0.625,0.9992649533430386,0.022643796774714887,-0.03826910067695392,2,6
short,3,0.5,3,confirm,measured,107,0.01877856612476309,-0.08722217295526412,0.6822429906542056,1.274687643857399,0.04779725872521622,-0.011914281818023877,3,6
short,5,1.0,2,touch,2.5R,784,0.015877815444611615,-0.0878532696250669,0.30612244897959173,1.0347454304152248,-0.005467555495737325,0.03657960736163344,6,12
long,3,1.0,3,touch,measured,250,0.009011139528007472,-0.08900739888309292,0.5720000000000001,79732457.48440936,0.015217214584864872,0.003724482998091901,6,10
long,5,0.5,2,touch,measured,495,-0.0038748805291718025,-0.09357422415147013,0.5595959595959596,1.0693015433540198,0.07989273850573662,-0.08020367625209993,7,11
short,5,1.0,2,touch,1.5R,821,0.006798928215027802,-0.09570271894214995,0.4080389768574908,1.0456126766198808,-0.0633684396476899,0.07346626110122038,5,12
short,3,1.0,2,confirm,measured,1091,0.0012228332778289202,-0.09894445984092132,0.6856095325389548,1.0607643096473753,-0.03757834825030262,0.03553406806609032,3,12
long,3,1.0,2,confirm,measured,976,-0.012197332696507367,-0.10064731623546204,0.6475409836065573,1.0072283990397486,0.03916874707025246,-0.05780087353392084,9,12
short,3,1.0,2,confirm,1.5R,982,-0.0003180841913437726,-0.10125637223605449,0.4083503054989816,1.0185711078722401,-0.0222650635007016,0.019828556971543294,4,12
long,3,0.5,2,confirm,measured,627,-0.011445674819073378,-0.10390290964879281,0.6459330143540671,1.0219920753855198,0.0487933620873,-0.06497132508226658,7,12
short,5,0.5,2,touch,1.5R,591,0.0012203753808931752,-0.1080837257102466,0.40947546531302875,1.042437698365451,-0.060782334999131424,0.05819039823007163,5,12
short,5,1.0,3,touch,1.5R,129,-0.025893186488137473,-0.11534542528442535,0.39534883720930236,1.0537978676539725,-0.004348197124319605,-0.049910551680590214,2,7
short,3,0.5,3,touch,3.5R,147,0.0007884361983153537,-0.1203671453847079,0.25170068027210885,1.0341117125885608,-0.25084952304074604,0.27014737848238113,2,7
short,3,1.0,3,touch,2.5R,305,-0.018930810323011606,-0.1218372995918313,0.30163934426229505,1.013440857525531,-0.0017839845446554184,-0.037120348479781316,4,11
long,5,1.0,2,confirm,measured,622,-0.04610825543314642,-0.122356945447305,0.6045016077170419,0.9299248418120232,0.03298613832074619,-0.11792402399496302,7,12
short,3,1.0,2,touch,3.5R,1107,-0.005639642291969193,-0.12349528344236811,0.2502258355916892,1.0020308996785734,0.014851320055951325,-0.025225526797667052,6,12
