symbol,tf,direction,level,closeback,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,PW,1,False,next_open,1.5,26,0.34615384615384615,-0.1346153846153846,-3.5,0.7941176470588235,13.5,17.0,0.0015665084704229424,-0.5,-3.0,13,13
US100,M15,long,PW,1,False,next_open,2.5,26,0.2692307692307692,-0.057692307692307696,-1.5,0.9210526315789473,17.5,19.0,0.0015665084704229424,1.0,-2.5,13,13
US100,M15,long,PW,1,False,next_open,3.5,26,0.19230769230769232,-0.1346153846153846,-3.5,0.8333333333333334,17.5,21.0,0.0015665084704229424,5.0,-8.5,13,13
US100,M15,long,PW,1,False,break,1.5,10,0.5,0.25,2.5,1.5,7.5,5.0,0.003982367469969024,2.5,0.0,5,5
US100,M15,long,PW,1,False,break,2.5,10,0.4,0.4,4.0,1.6666666666666667,10.0,6.0,0.003982367469969024,5.5,-1.5,5,5
US100,M15,long,PW,1,False,break,3.5,10,0.3,0.2561904761904749,2.5619047619047493,1.3659863945578212,9.56190476190475,7.0,0.003982367469969024,7.561904761904749,-5.0,5,5
US100,M15,long,PW,2,False,next_open,1.5,34,0.29411764705882354,-0.2647058823529412,-9.0,0.625,15.0,24.0,0.001940428227538947,-3.0,-6.0,18,16
US100,M15,long,PW,2,False,next_open,2.5,34,0.20588235294117646,-0.27941176470588236,-9.5,0.6481481481481481,17.5,27.0,0.001940428227538947,-4.0,-5.5,18,16
US100,M15,long,PW,2,False,next_open,3.5,34,0.14705882352941177,-0.3382352941176471,-11.5,0.603448275862069,17.5,29.0,0.001940428227538947,0.0,-11.5,18,16
US100,M15,long,PW,2,False,break,1.5,17,0.35294117647058826,-0.11764705882352941,-2.0,0.8181818181818182,9.0,11.0,0.003842893844339733,1.0,-3.0,9,8
US100,M15,long,PW,2,False,break,2.5,17,0.23529411764705882,-0.17647058823529413,-3.0,0.7692307692307693,10.0,13.0,0.003842893844339733,1.5,-4.5,9,8
US100,M15,long,PW,2,False,break,3.5,17,0.17647058823529413,-0.26106442577030886,-4.438095238095251,0.6829931972789106,9.56190476190475,14.0,0.003842893844339733,3.5619047619047493,-8.0,9,8
US100,M15,long,PW,1,True,next_open,1.5,12,0.5833333333333334,0.4583333333333333,5.5,2.1,10.5,5.0,0.002011568323559532,3.0,2.5,7,5
US100,M15,long,PW,1,True,next_open,2.5,12,0.5,0.75,9.0,2.5,15.0,6.0,0.002011568323559532,3.5,5.5,7,5
US100,M15,long,PW,1,True,next_open,3.5,12,0.3333333333333333,0.5,6.0,1.75,14.0,8.0,0.002011568323559532,6.5,-0.5,7,5
US100,M15,long,PW,1,True,break,1.5,5,0.8,1.0,5.0,6.0,6.0,1.0,0.004726328134901808,4.5,0.5,3,2
US100,M15,long,PW,1,True,break,2.5,5,0.6,1.1,5.5,3.75,7.5,2.0,0.004726328134901808,7.5,-2.0,3,2
US100,M15,long,PW,1,True,break,3.5,5,0.6,1.51238095238095,7.561904761904749,4.780952380952375,9.56190476190475,2.0,0.004726328134901808,9.56190476190475,-2.0,3,2
US100,M15,long,PW,2,True,next_open,1.5,13,0.5384615384615384,0.34615384615384615,4.5,1.75,10.5,6.0,0.001996578333969552,3.0,1.5,7,6
US100,M15,long,PW,2,True,next_open,2.5,13,0.46153846153846156,0.6153846153846154,8.0,2.142857142857143,15.0,7.0,0.001996578333969552,3.5,4.5,7,6
US100,M15,long,PW,2,True,next_open,3.5,13,0.3076923076923077,0.38461538461538464,5.0,1.5555555555555556,14.0,9.0,0.001996578333969552,6.5,-1.5,7,6
US100,M15,long,PW,2,True,break,1.5,6,0.6666666666666666,0.6666666666666666,4.0,3.0,6.0,2.0,0.004282971158811013,4.5,-0.5,3,3
US100,M15,long,PW,2,True,break,2.5,6,0.5,0.75,4.5,2.5,7.5,3.0,0.004282971158811013,7.5,-3.0,3,3
US100,M15,long,PW,2,True,break,3.5,6,0.5,1.0936507936507915,6.561904761904749,3.187301587301583,9.56190476190475,3.0,0.004282971158811013,9.56190476190475,-3.0,3,3
US100,M15,short,PW,1,False,next_open,1.5,27,0.18518518518518517,-0.5370370370370371,-14.5,0.3409090909090909,7.5,22.0,0.0009724245965687841,-4.0,-10.5,14,13
US100,M15,short,PW,1,False,next_open,2.5,27,0.1111111111111111,-0.6111111111111112,-16.5,0.3125,7.5,24.0,0.0009724245965687841,-3.5,-13.0,14,13
US100,M15,short,PW,1,False,next_open,3.5,27,0.07407407407407407,-0.6666666666666666,-18.0,0.28,7.0,25.0,0.0009724245965687841,-5.0,-13.0,14,13
