symbol,tf,direction,variant,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M30,short,08_choch,1.5,57,0.38596491228070173,-0.05114035087719311,-2.915000000000007,0.9188361408882081,33.0,35.915000000000006,3.5,-6.415000000000007,29,28
US100,M30,short,00_base_div,2.5,93,0.25806451612903225,-0.09844441677436501,-9.155330760015946,0.8676120747395897,60.0,69.15533076001594,-2.1553307600159473,-7.0,44,49
US100,M30,short,00_base_hid,2.5,16,0.3125,0.09375,1.5,1.1363636363636365,12.5,11.0,0.5,1.0,10,6
US100,M30,short,02_fib_deep,2.5,29,0.2413793103448276,-0.15517241379310345,-4.5,0.7954545454545454,17.5,22.0,-1.5,-3.0,12,17
US100,M30,short,04a_hvn,2.5,20,0.35,0.225,4.5,1.3461538461538463,17.5,13.0,6.0,-1.5,8,12
US100,M30,short,04b_avwap,2.5,5,0.4,0.4,2.0,1.6666666666666667,5.0,3.0,-1.0,3.0,1,4
US100,M30,short,05_triple_reg,2.5,58,0.3448275862068966,0.20689655172413793,12.0,1.3157894736842106,50.0,38.0,8.5,3.5,23,35
US100,M30,short,05_triple_hid,2.5,121,0.32231404958677684,0.128099173553719,15.5,1.1890243902439024,97.5,82.0,14.0,1.5,63,58
US100,M30,short,06_ma200,2.5,104,0.33653846153846156,0.1778846153846154,18.5,1.2681159420289856,87.5,69.0,11.5,7.0,62,42
US100,M30,short,06_ma200_bb,2.5,4,0.5,0.75,3.0,2.5,5.0,2.0,1.5,1.5,2,2
US100,M30,short,10_wave5,2.5,113,0.2831858407079646,-0.02445155210376638,-2.763025387725601,0.9666152200843133,80.0,82.7630253877256,-1.4793307600159293,-1.2836946277096715,53,60
US100,M30,short,11_mtf,2.5,39,0.28205128205128205,-0.01282051282051282,-0.5,0.9821428571428571,27.5,28.0,-4.5,4.0,15,24
US100,M30,short,12_obv,2.5,253,0.25296442687747034,-0.13508958786188732,-34.177665729057495,0.8219140668085642,157.7390405293631,191.91670625842062,-23.050629319726617,-11.127036409330879,116,137
US100,M30,short,12_obv_bb,2.5,150,0.20666666666666667,-0.30452535183019336,-45.678802774529004,0.622232736489283,75.23904052936311,120.91784330389211,-25.335460992907798,-20.343341781621206,73,77
US100,M30,short,03_reentry,2.5,156,0.1987179487179487,-0.30448717948717946,-47.5,0.62,77.5,125.0,-29.5,-18.0,75,81
US100,M30,short,07_bos,2.5,134,0.30597014925373134,0.03379203993934624,4.5281333518723965,1.04901225077579,96.91591967465632,92.38778632278394,12.147014725771621,-7.6188813738992245,67,67
