symbol,tf,direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_avg_r,h2_avg_r,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,SR+BB,candle+macd,1.5,9,3,171,0.38596491228070173,-0.04422321235186739,-7.562169312169323,0.9290351410732239,99.0,106.56216931216932,-0.038461538461538464,-0.05077711640211655,-3.5,-4.062169312169324,91,80
US100,M15,long,SR+BB,candle+macd,2.5,9,3,168,0.30952380952380953,0.0740347064751826,12.437830687830676,1.1057979004691878,130.0,117.56216931216932,0.06179775280898876,0.08782064161810982,5.5,6.937830687830676,89,79
US100,M15,long,SR+FIB,candle,1.5,9,3,74,0.43243243243243246,0.08108108108108109,6.0,1.1428571428571428,48.0,42.0,-0.024390243902439025,0.21212121212121213,-1.0,7.0,41,33
US100,M15,long,SR+FIB,candle,2.5,9,3,74,0.33783783783783783,0.18243243243243243,13.5,1.2755102040816326,62.5,49.0,0.024390243902439025,0.3787878787878788,1.0,12.5,41,33
US100,M15,long,SR+FIB,macd,1.5,9,3,40,0.375,-0.0625,-2.5,0.9,22.5,25.0,-0.021739130434782608,-0.11764705882352941,-0.5,-2.0,23,17
US100,M15,long,SR+FIB,macd,2.5,9,3,40,0.275,-0.0375,-1.5,0.9482758620689655,27.5,29.0,0.06521739130434782,-0.17647058823529413,1.5,-3.0,23,17
US100,M15,long,SR+FIB,candle+macd,1.5,9,3,57,0.38596491228070173,-0.03508771929824561,-2.0,0.9428571428571428,33.0,35.0,0.07142857142857142,-0.20454545454545456,2.5,-4.5,35,22
US100,M15,long,SR+FIB,candle+macd,2.5,9,3,57,0.2807017543859649,-0.017543859649122806,-1.0,0.975609756097561,40.0,41.0,0.1,-0.20454545454545456,3.5,-4.5,35,22
US100,M15,long,BB+FIB,candle,1.5,9,3,60,0.45,0.125,7.5,1.2272727272727273,40.5,33.0,0.0,0.3,0.0,7.5,35,25
US100,M15,long,BB+FIB,candle,2.5,9,3,60,0.3333333333333333,0.16666666666666666,10.0,1.25,50.0,40.0,0.0,0.4,0.0,10.0,35,25
US100,M15,long,BB+FIB,macd,1.5,9,3,36,0.3611111111111111,-0.09722222222222222,-3.5,0.8478260869565217,19.5,23.0,-0.047619047619047616,-0.16666666666666666,-1.0,-2.5,21,15
US100,M15,long,BB+FIB,macd,2.5,9,3,36,0.25,-0.125,-4.5,0.8333333333333334,22.5,27.0,0.0,-0.3,0.0,-4.5,21,15
US100,M15,long,BB+FIB,candle+macd,1.5,9,3,47,0.40425531914893614,0.010638297872340425,0.5,1.0178571428571428,28.5,28.0,0.16666666666666666,-0.2647058823529412,5.0,-4.5,30,17
US100,M15,long,BB+FIB,candle+macd,2.5,9,3,47,0.2978723404255319,0.0425531914893617,2.0,1.0606060606060606,35.0,33.0,0.16666666666666666,-0.17647058823529413,5.0,-3.0,30,17
US100,M15,long,SR+BB+FIB,candle,1.5,9,3,54,0.46296296296296297,0.1574074074074074,8.5,1.293103448275862,37.5,29.0,0.08333333333333333,0.25,2.5,6.0,30,24
US100,M15,long,SR+BB+FIB,candle,2.5,9,3,54,0.35185185185185186,0.23148148148148148,12.5,1.3571428571428572,47.5,35.0,0.05,0.4583333333333333,1.5,11.0,30,24
US100,M15,long,SR+BB+FIB,macd,1.5,9,3,32,0.375,-0.0625,-2.0,0.9,18.0,20.0,-0.027777777777777776,-0.10714285714285714,-0.5,-1.5,18,14
US100,M15,long,SR+BB+FIB,macd,2.5,9,3,32,0.25,-0.125,-4.0,0.8333333333333334,20.0,24.0,-0.027777777777777776,-0.25,-0.5,-3.5,18,14
US100,M15,long,SR+BB+FIB,candle+macd,1.5,9,3,42,0.40476190476190477,0.011904761904761904,0.5,1.02,25.5,25.0,0.15384615384615385,-0.21875,4.0,-3.5,26,16
US100,M15,long,SR+BB+FIB,candle+macd,2.5,9,3,42,0.2857142857142857,0.0,0.0,1.0,30.0,30.0,0.07692307692307693,-0.125,2.0,-2.0,26,16
US100,M15,short,SR,candle,1.5,9,3,352,0.3465909090909091,-0.1367120012340601,-48.12262443438915,0.7917874783909346,183.0,231.12262443438917,-0.2000506072874494,-0.08857466063348424,-30.407692307692308,-17.714932126696848,152,200
US100,M15,short,SR,candle,2.5,9,3,348,0.2614942528735632,-0.11675418405629487,-40.63045605159061,0.8484675830940557,227.5,268.1304560515906,-0.11662541043705557,-0.11685404931203144,-17.727062386432447,-22.903393665158163,152,196
US100,M15,short,SR,macd,1.5,9,3,165,0.3515151515151515,-0.12121212121212122,-20.0,0.8130841121495327,87.0,107.0,-0.17857142857142858,-0.07894736842105263,-12.5,-7.5,70,95
US100,M15,short,SR,macd,2.5,9,3,165,0.24848484848484848,-0.1382992125984251,-22.81937007874014,0.8179102714576177,102.5,125.31937007874014,-0.16884814398200199,-0.11578947368421053,-11.819370078740139,-11.0,70,95
US100,M15,short,SR,candle+macd,1.5,9,3,277,0.35018050541516244,-0.12454873646209386,-34.5,0.8083333333333333,145.5,180.0,-0.22,-0.046052631578947366,-27.5,-7.0,125,152
US100,M15,short,SR,candle+macd,2.5,9,3,273,0.2454212454212454,-0.17768436489817382,-48.507831617201454,0.7754348476440213,167.5,216.00783161720145,-0.17055496062992112,-0.18370582120581969,-21.31937007874014,-27.188461538461315,125,148
US100,M15,short,BB,candle,1.5,9,3,301,0.33554817275747506,-0.1721853464104788,-51.82778926955412,0.7451022830880959,151.5,203.3277892695541,-0.2456059113300501,-0.10394187260703107,-35.612857142857266,-16.214932126696848,145,156
US100,M15,short,BB,candle,2.5,9,3,300,0.25333333333333335,-0.12442596423184703,-37.32778926955411,0.8357975090089288,190.0,227.3277892695541,-0.2249162561576363,-0.030418916946431278,-32.612857142857266,-4.714932126696848,145,155
US100,M15,short,BB,macd,1.5,9,3,126,0.373015873015873,-0.08127934155987075,-10.241197036543715,0.8731602030632698,70.5,80.74119703654372,-0.13968130570413076,-0.029850746268656716,-8.241197036543715,-2.0,59,67
US100,M15,short,BB,macd,2.5,9,3,126,0.2698412698412698,-0.06937457965510885,-8.741197036543715,0.906751809099087,85.0,93.74119703654372,-0.19900333960243585,0.04477611940298507,-11.741197036543715,3.0,59,67
US100,M15,short,BB,candle+macd,1.5,9,3,242,0.3677685950413223,-0.08777354147332114,-21.241197036543717,0.8627308212464752,133.5,154.74119703654372,-0.14611183929274338,-0.03225806451612903,-17.241197036543717,-4.0,118,124
US100,M15,short,BB,candle+macd,2.5,9,3,241,0.27800829875518673,-0.034195838325907536,-8.241197036543717,0.9531060606419447,167.5,175.74119703654372,-0.1545864155639298,0.08130081300813008,-18.241197036543717,10.0,118,123
US100,M15,short,FIB,candle,1.5,9,3,74,0.43243243243243246,0.08108108108108109,6.0,1.1428571428571428,48.0,42.0,0.29310344827586204,-0.05555555555555555,8.5,-2.5,29,45
US100,M15,short,FIB,candle,2.5,9,3,74,0.28378378378378377,-0.006756756756756757,-0.5,0.9905660377358491,52.5,53.0,-0.034482758620689655,0.011111111111111112,-1.0,0.5,29,45
US100,M15,short,FIB,macd,1.5,9,3,43,0.3488372093023256,-0.12790697674418605,-5.5,0.8035714285714286,22.5,28.0,-0.027777777777777776,-0.2,-0.5,-5.0,18,25
