detector,direction,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
exhaust,short,BB,self,1.5,442,0.4095022624434389,0.020202627385311676,8.92956130430776,1.0340082506951849,0.10292170101473445,-0.06402729690400923,4
exhaust,short,BB,candle,1.5,442,0.4095022624434389,0.020202627385311676,8.92956130430776,1.0340082506951849,0.10292170101473445,-0.06402729690400923,4
keyrev,short,SR,candle,1.5,1067,0.4076850984067479,0.01714373193415956,18.292361973748253,1.0288428597780324,-0.030888589982078076,0.060958161782483866,5
keyrev,short,BB,candle,2.5,695,0.2935251798561151,0.015914704763237027,11.060719810449733,1.0222610503968612,-0.026906906238431748,0.057163770728121364,6
keyrev,short,BB,self,2.5,695,0.2935251798561151,0.015914704763237027,11.060719810449733,1.0222610503968612,-0.026906906238431748,0.057163770728121364,6
hidden,short,SR,candle,1.5,1344,0.40848214285714285,0.014466642206552537,19.44316712560661,1.0242151394716268,0.004354971473014046,0.023631688445887426,6
div,long,none,candle,1.5,1386,0.4062049062049062,0.013989702150877217,19.389727181115823,1.0234995585679394,-0.0006074868795667457,0.028253717109299647,8
keyrev,short,none,self,2.5,1376,0.2914244186046512,0.012944280605859953,17.811330113663296,1.0181443419997258,-0.0600816174701702,0.08367179562370318,4
spring,long,none,self,2.5,6041,0.29250124151630524,0.012150109567859705,73.39881189944047,1.016932837179669,0.010329031759570732,0.013956176843604258,5
keyrev,short,none,candle,2.5,1376,0.29069767441860467,0.010400675954697163,14.311330113663297,1.0145640674210004,-0.0600816174701702,0.07866464254788058,4
keyrev,short,none,self,1.5,1417,0.4043754410726888,0.00907374163170227,12.857491892122116,1.0151864473718155,-0.05088907730733343,0.06695740596120137,2
keyrev,short,SR+BB,self,1.5,488,0.4036885245901639,0.006712861060021965,3.275876197290719,1.0112101497804553,0.034406531846419106,-0.01717557251908397,4
spring,long,none,candle,1.5,4857,0.40477661107679636,0.006337566886638958,30.781562368405417,1.0105480665776985,-0.004990081693471488,0.0175123269583062,7
spring,short,BB,candle,2.5,2035,0.28943488943488943,0.005466507627466565,11.12434302189446,1.0076338129793587,-0.04806243278155151,0.059683752908212866,5
exhaust,short,SR+BB,self,1.5,272,0.40441176470588236,0.005336541640756544,1.45153932628578,1.0088752857734422,0.07898047084353793,-0.05821917808219178,5
exhaust,short,SR+BB,candle,1.5,272,0.40441176470588236,0.005336541640756544,1.45153932628578,1.0088752857734422,0.07898047084353793,-0.05821917808219178,5
failswing,long,SR,candle,1.5,1946,0.4028776978417266,0.004995214443345674,9.720687306750682,1.0083347849875715,-0.032850006027564105,0.04101839822157373,6
hidden,long,SR,self,2.5,1807,0.2894299944659657,0.004985867520662311,9.009462609836795,1.0069499207586061,-0.04050789949254571,0.05073209716990368,7
spring,long,SR,candle,1.5,4641,0.4042232277526395,0.004580086456092478,21.256181242725187,1.0076112177207088,-0.0019861744940307094,0.011081585827376542,7
spring,long,SR,self,2.5,5811,0.29048356565135086,0.004390023754943769,25.51042803997824,1.006094947032915,0.007920287687557903,0.000841487234686699,3
keyrev,short,none,candle,1.5,1417,0.4015525758645025,0.0020165786112364996,2.8574918921221197,1.003359215963094,-0.06166493937629893,0.06348999958117363,2
div,long,BB,candle,1.5,909,0.40154015401540155,0.0018827742562615695,1.7114417989417667,1.0031357231169937,-0.001621403769841315,0.005288135982279124,7
pinbar,long,BB,self,2.5,2436,0.2885878489326765,0.0007154795793273324,1.7429082552413817,1.000994503590822,0.0639485166501523,-0.05888695249221582,4
div,long,SR,candle,1.5,1105,0.40090497737556563,0.0005244043481720743,0.5794668047301421,1.0008727954261956,-0.012364685457516377,0.013022915674900272,6
exhaust,short,SR,self,1.5,1142,0.4010507880910683,0.00013022736794258288,0.14871965419042965,1.0002168782411476,0.051190071024438,-0.046156074978429724,7
exhaust,short,SR,candle,1.5,1142,0.4010507880910683,0.00013022736794258288,0.14871965419042965,1.0002168782411476,0.051190071024438,-0.046156074978429724,7
hidden,short,none,candle,1.5,1487,0.4021519838601211,-0.0007107147776687227,-1.0568328743933906,0.9988217277200863,-0.0009960739288111438,-0.0004428417805076493,5
hidden,short,SR+BB,self,1.5,146,0.4041095890410959,-0.0016520344968747622,-0.24119703654371527,0.9972820173200458,0.13730247516410105,-0.1796875,5
failswing,long,none,candle,1.5,2449,0.4001633319722336,-0.0020119714904428473,-4.927318180094534,0.9966592806849804,-0.030757092502726898,0.026336825874469887,6
spring,long,SR+BB,candle,1.5,2387,0.39966485127775453,-0.002573945356051172,-6.144007564894148,0.9957248490530155,-0.007744703775755137,0.002380481087110625,5
pinbar,long,none,self,1.5,11350,0.4016740088105727,-0.003176801097376651,-36.05669245522499,0.9947550519883273,0.012272226733615589,-0.018735105871470512,7
exhaust,short,SR,candle,2.5,1127,0.2857142857142857,-0.0036961805760695778,-4.165595509230414,0.9948384473206215,0.11759589619151654,-0.1129204115944355,4
exhaust,short,SR,self,2.5,1127,0.2857142857142857,-0.0036961805760695778,-4.165595509230414,0.9948384473206215,0.11759589619151654,-0.1129204115944355,4
spring,long,BB,candle,1.5,2634,0.39863325740318906,-0.0049901319532627735,-13.144007564894146,0.9917236676886451,-0.01248701479383813,0.002151079648026575,3
pinbar,long,none,candle,1.5,8530,0.39976553341148885,-0.00539035941325052,-45.979765795026935,0.991090884312362,-0.006857967204667898,-0.003889341532201631,4
