detector,direction,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
pinbar,short,SR,self,2.5,7668,0.2815597287428273,-0.024273496831922776,-186.12917370718384,0.9666552839974903,-0.015195898489282603,-0.03326156786155482,3
spring,long,BB,self,1.5,3329,0.3902072694502854,-0.02708921001556559,-90.17998014181785,0.9557655046303322,-0.00034123849920840107,-0.0528745701676173,3
spring,long,SR+BB,self,1.5,3023,0.3893483294740324,-0.029472396043245436,-89.09505323873096,0.9519598345292997,-0.0003719704521057554,-0.05809545244817876,4
spring,short,BB,self,2.5,2570,0.27976653696498055,-0.03085176922262225,-79.28904690213919,0.9576596525848287,-0.01792395487681132,-0.04371936083079742,4
wbottom,short,none,candle,2.5,2843,0.27857896588111153,-0.03164766766195671,-89.97431916294293,0.9564371858538727,-0.045673066121341165,-0.01771078854768759,4
pinbar,long,BB,self,1.5,2537,0.390224674812771,-0.03205609264735852,-81.32630704634857,0.9480783112174709,0.0022675164341830873,-0.06445968374962616,3
exhaust,short,none,candle,2.5,1512,0.27843915343915343,-0.03265317449850851,-49.37159984174487,0.9550216213422968,0.06103195507682955,-0.12198085618662152,4
exhaust,short,none,self,2.5,1512,0.27843915343915343,-0.03265317449850851,-49.37159984174487,0.9550216213422968,0.06103195507682955,-0.12198085618662152,4
pinbar,short,SR,self,1.5,8144,0.38973477406679763,-0.03329845493108502,-271.1826169587564,0.9461103386739473,-0.0432697316875431,-0.023559518603903633,1
hidden,short,BB,self,1.5,156,0.391025641025641,-0.03359741690092125,-5.241197036543715,0.9458224913780643,0.08816821549382142,-0.19117647058823528,5
pinbar,short,none,self,2.5,9588,0.2785773884021694,-0.03476786980133734,-333.35433565522237,0.9524404198045353,-0.013648180141014118,-0.055616176920947585,0
wbottom,long,none,self,2.5,3190,0.28150470219435736,-0.03608022228439572,-115.09590908722234,0.9512080669066136,-0.041910190976868204,-0.030401775055465225,6
pinbar,long,SR+BB,candle,1.5,1708,0.38524590163934425,-0.036639474929148264,-62.580223178985236,0.9403759505019624,-0.004121677244468278,-0.06597067328615361,2
failswing,long,SR+BB,self,2.5,324,0.27469135802469136,-0.04100252548427618,-13.284818256905481,0.9436570244211794,-0.19891643814747112,0.11305982833347497,5
spring,short,none,candle,1.5,5255,0.38496669838249287,-0.04104583027124225,-215.69583807537802,0.9336043196681489,-0.0685758747825437,-0.014714972360023556,2
pinbar,short,none,self,1.5,10274,0.3863149698267471,-0.04114024972989538,-422.67492572494507,0.9337102682017638,-0.04173725801485977,-0.04055292452968421,0
hidden,long,BB,self,2.5,323,0.2786377708978328,-0.041772901110908804,-13.492647058823543,0.9434253121627871,-0.22976799415418345,0.14506172839506173,5
pinbar,long,SR+BB,self,1.5,1996,0.3867735470941884,-0.04250591638304233,-84.8418091005525,0.93173563322435,-0.0038973919590814263,-0.07764152090666608,3
spring,short,SR,candle,1.5,5021,0.3843855805616411,-0.04269180506712712,-214.3555532420453,0.9310266455476252,-0.07291999089487344,-0.013353381381092336,2
wbottom,short,none,candle,1.5,2903,0.3840854288666896,-0.04273411338093619,-124.05713114485775,0.9309472941359775,-0.0276810761018622,-0.05779752491037482,3
spring,long,none,self,1.5,6843,0.38521116469384775,-0.04471419252280145,-305.9792194335303,0.9281735417774604,-0.02242238375251935,-0.06656093913881576,2
keyrev,long,none,candle,1.5,947,0.382259767687434,-0.04733003506797601,-44.82154320937328,0.9237497439024474,-0.11586959042715672,0.02164515305831814,3
keyrev,long,none,self,1.5,948,0.3818565400843882,-0.04833496119132203,-45.82154320937328,0.9221809328517043,-0.11772700725399042,0.02164515305831814,3
spring,short,SR+BB,self,2.5,2270,0.273568281938326,-0.04994764648915332,-113.38115753037803,0.9319392280668674,-0.03419539582854313,-0.06550678724674378,3
spring,long,SR,self,1.5,6552,0.3826312576312576,-0.05178284084712486,-339.28117323036207,0.9172440774532779,-0.028081966739860943,-0.07541147821526271,1
spring,short,BB,self,1.5,2703,0.3803181650018498,-0.05319019834613286,-143.77310612959712,0.9147138451747584,-0.03467252434311723,-0.07155776592760597,2
pinbar,short,SR,candle,2.5,5588,0.27147458840372224,-0.05644194466066049,-315.39758676377085,0.9231819621759605,-0.03690961306609723,-0.07495306686547665,2
pinbar,short,none,candle,2.5,6765,0.2713968957871397,-0.05844841991687061,-395.4035607376297,0.9206212429276207,-0.02793729634044642,-0.0873865333780356,0
wbottom,long,SR,self,2.5,2636,0.27579666160849775,-0.05915014900559147,-155.91979277873912,0.9209900532318108,-0.05355683369346854,-0.06454340534976964,5
div,short,none,candle,2.5,1857,0.2724824986537426,-0.06063877717834821,-112.60620922019262,0.9182595080752907,-0.1050457388948808,-0.016754809657620644,3
failswing,long,BB,candle,1.5,436,0.3761467889908257,-0.06148953438827735,-26.809436993288926,0.9017283372277607,-0.08756572141207153,-0.03612129814340974,6
spring,short,none,self,2.5,6985,0.2691481746599857,-0.06515132226850032,-455.0819860454747,0.9114501109303594,-0.06063959091095473,-0.06958747379921591,0
pinbar,short,none,candle,1.5,7442,0.3761085729642569,-0.06564014332040437,-488.4939465904493,0.8957517398839457,-0.03408054829913466,-0.09592007071837878,0
spring,short,SR+BB,self,1.5,2377,0.37484223811527134,-0.06680143422131775,-158.7870091440723,0.8938083403567019,-0.047735689460150096,-0.08550175220789634,3
failswing,short,SR,candle,1.5,2241,0.37349397590361444,-0.06938039109134778,-155.48145643571036,0.8898061659658709,-0.06624652085409269,-0.07257925593226097,2
hidden,long,SR+BB,self,2.5,299,0.2709030100334448,-0.07020952193586467,-20.992647058823536,0.9060700773153479,-0.2992697078831533,0.1513157894736842,3
pinbar,short,SR,candle,1.5,6096,0.3735236220472441,-0.07222954501617379,-440.31130641859545,0.8857725416332258,-0.052032207166833815,-0.09144416988436793,0
spring,short,SR,self,2.5,6765,0.26622320768662233,-0.07683980267877381,-519.8212651219048,0.896274803849967,-0.0762311761104776,-0.0774400307007665,0
div,short,SR,candle,2.5,1335,0.26741573033707866,-0.07693822276360629,-102.71252738941439,0.8967933737140104,-0.14728211344870684,-0.011966415949269902,4
failswing,short,SR,candle,2.5,2183,0.2656894182317911,-0.07700405697008367,-168.09985636569266,0.896056123947278,-0.09277185083302472,-0.060870929607074464,1
div,short,BB,candle,2.5,946,0.2653276955602537,-0.07789266319568199,-73.68645938311516,0.8949117479422769,-0.12460976557794318,-0.02977204271609968,3
failswing,long,BB,self,2.5,464,0.2650862068965517,-0.07809307269075419,-36.23518572850995,0.8939824597437985,-0.13861340753803264,-0.02062418329796038,5
failswing,long,SR,self,2.5,2114,0.2663197729422895,-0.07818622631607892,-165.28568243219084,0.8949089604016555,-0.09338477252757899,-0.06357983125567628,2
failswing,short,none,candle,1.5,3016,0.3703580901856764,-0.07897023260778588,-238.17422154508222,0.8755408737476839,-0.09022043084814396,-0.0673561465537235,1
failswing,short,BB,candle,1.5,530,0.37169811320754714,-0.08036031005297331,-42.590964328075856,0.874025132813823,-0.09743661230034702,-0.059568661709936695,3
hidden,short,none,self,2.5,1636,0.26405867970660146,-0.08460073529697269,-138.40680294584732,0.8862642463588223,-0.16127754352192977,-0.011762337018914548,2
hidden,short,SR,self,2.5,1473,0.26272912423625255,-0.08742640332822474,-128.77909210247503,0.8823707280140429,-0.1683708658938869,-0.01271656646931725,1
failswing,long,none,self,2.5,2684,0.2630402384500745,-0.0887713774948408,-238.26237719615273,0.8809469108073027,-0.0769540252599424,-0.10044867222177004,2
hidden,long,SR,self,1.5,1831,0.3648279628618241,-0.09061599803117627,-165.91789239508375,0.8579370232484145,-0.13232260904085466,-0.04886380602585888,4
