symbol,tf,direction,k,tol,bottoms,entry,tp,trades,winrate,avg_r,sum_r,pf,net05_avg_r,risk_pct,h1_avg_r,h2_avg_r,h1_n,h2_n
US100,M10,short,3,0.5,2,touch,3.5R,214,0.24766355140186916,0.04170316278760982,8.924476836548502,1.0545651101903655,-0.15463981704357288,0.00391894455779144,0.13943748103411757,-0.037809502904464255,96,118
US100,M10,short,3,0.5,2,touch,measured,246,0.6463414634146342,0.07893613104616916,19.41828823735761,1.2102857226622832,-0.1142243365886701,0.0040175223829653555,0.10436343601742112,0.05870564752889568,109,137
US100,M10,short,3,0.5,2,confirm,1.5R,183,0.3825136612021858,-0.06708229257607543,-12.276059541421803,0.8940723058157346,-0.24107666487446403,0.004569609414962758,-0.07128043267325368,-0.06336023022187617,86,97
US100,M10,short,3,0.5,2,confirm,2.5R,181,0.30386740331491713,0.02089575799766131,3.782132197576697,1.0293567182863859,-0.15249433892041644,0.0045935787806556045,0.11130894448873054,-0.05915758420797296,85,96
US100,M10,short,3,0.5,2,confirm,3.5R,171,0.2222222222222222,-0.13582102783937824,-23.22539576053368,0.8271618356408822,-0.30816167793062016,0.004637975336934448,-0.09821559002573181,-0.16888075338983666,80,91
US100,M10,short,3,0.5,2,confirm,measured,187,0.6951871657754011,-0.003881452432919712,-0.7258316049559861,0.9880248353178477,-0.17540648931891886,0.0047310566044890465,-0.037232158978724235,0.025133662261930215,87,100
US100,M10,short,3,0.5,3,touch,1.5R,38,0.3684210526315789,-0.07904188916028754,-3.0035917880909264,0.8748690689873704,-0.24458891600622645,0.004028527634685031,-0.04761904761904584,-0.11785834047593902,21,17
US100,M10,short,3,0.5,3,touch,2.5R,38,0.2894736842105263,0.023004657426867567,0.8741769822209675,1.0328319234164984,-0.1425423694190714,0.004028527634685031,0.019809306227809236,0.026951855966880798,21,17
US100,M10,short,3,0.5,3,touch,3.5R,38,0.2894736842105263,0.312478341637392,11.874176982220897,1.4459646927830947,0.14693131479145308,0.004028527634685031,0.30552359194209755,0.3210695030256968,21,17
US100,M10,short,3,0.5,3,touch,measured,39,0.7435897435897436,0.2925288345806945,11.408624548647087,2.140862454864709,0.12825307158714713,0.004035784464798651,0.2694331601042646,0.32241735449136855,22,17
US100,M10,short,3,0.5,3,confirm,1.5R,28,0.39285714285714285,-0.017971729856903245,-0.5032084359932909,0.970405089257856,-0.15339065122824266,0.005038527059226204,-0.027777777777776767,-0.00032084359933095554,18,10
US100,M10,short,3,0.5,3,confirm,2.5R,28,0.25,-0.12306750577195766,-3.4458901616148143,0.8354860960777064,-0.25848642714329706,0.005038527059226204,-0.02270125047544654,-0.30372676530567755,18,10
US100,M10,short,3,0.5,3,confirm,3.5R,27,0.18518518518518517,-0.20304075264143678,-5.482100321318793,0.7383242574624118,-0.3340478573202297,0.005152385711159625,-0.261460745191881,-0.10372676530568145,17,10
US100,M10,short,3,0.5,3,confirm,measured,26,0.8076923076923077,0.20830600148176676,5.415956038525936,2.083191207705187,0.06702594043204511,0.004776580963027654,0.14715973643632876,0.3061400255544675,16,10
US100,M10,short,3,1.0,2,touch,1.5R,319,0.45454545454545453,0.1195122108621587,38.124395265028625,1.2144666293088728,-0.06149323284120587,0.00434539084395531,0.12348871139982469,0.11598277251511788,150,169
US100,M10,short,3,1.0,2,touch,2.5R,304,0.32894736842105265,0.12058951471813387,36.659212474312696,1.1772992378783427,-0.06247652826214993,0.004333908766100874,0.16308051418260042,0.08334431765668787,142,162
US100,M10,short,3,1.0,2,touch,3.5R,283,0.2508833922261484,0.039404143867848296,11.151372714601068,1.0521455336785237,-0.14267022423812517,0.0042563599870105405,0.14542066799741146,-0.05459717419369767,133,150
US100,M10,short,3,1.0,2,touch,measured,354,0.6581920903954802,0.11550705880483143,40.889498816910326,1.3260065459592405,-0.06465062391601671,0.004312318172620085,0.1624607278838753,0.07357517251499013,167,187
US100,M10,short,3,1.0,2,confirm,1.5R,253,0.4150197628458498,0.017800263242841986,4.5034666004390225,1.0297040086148188,-0.1399607270928383,0.004974750463487925,0.05211363501661949,-0.012192165418682033,118,135
US100,M10,short,3,1.0,2,confirm,2.5R,242,0.30578512396694213,0.019755563658969345,4.780846405470581,1.0278678659537483,-0.13649455770056332,0.004972411350418147,0.1328480486826745,-0.07767796189991509,112,130
US100,M10,short,3,1.0,2,confirm,3.5R,230,0.23043478260869565,-0.11218600395749072,-25.802780910222864,0.8553629825626587,-0.27011087946401546,0.004926863390600956,-0.019165682342609958,-0.19310612113466338,107,123
US100,M10,short,3,1.0,2,confirm,measured,270,0.7296296296296296,0.05050383001336835,13.636034103609454,1.1779896006772457,-0.10605332986816009,0.00497527362183735,0.06038606907042104,0.041856870838447226,126,144
US100,M10,short,3,1.0,3,touch,1.5R,69,0.4782608695652174,0.20350507217390934,14.041849979999744,1.4002466447346331,0.05541975905097698,0.004717589086445734,0.138509252476923,0.27865648869854975,37,32
US100,M10,short,3,1.0,3,touch,2.5R,68,0.3382352941176471,0.18264145221046202,12.419618750311416,1.2841678346378225,0.03544779776975653,0.004751736343321551,0.10921183168729649,0.27028325735101444,37,31
US100,M10,short,3,1.0,3,touch,3.5R,68,0.2647058823529412,0.15850964111002358,10.778655595481604,1.2213038931084859,0.011315986669318124,0.004751736343321551,0.041644264119732315,0.2979941233242422,37,31
US100,M10,short,3,1.0,3,touch,measured,70,0.7142857142857143,0.26990003921484007,18.893002745038807,1.9900440343418335,0.12227354861362577,0.0047117884424838835,0.29404513504888685,0.24122773791190952,38,32
US100,M10,short,3,1.0,3,confirm,1.5R,54,0.4444444444444444,0.11111111111111022,5.999999999999952,1.1999999999999986,-0.012183192536854638,0.0052433200468196455,-3.2566542055671256e-16,0.24999999999999842,30,24
US100,M10,short,3,1.0,3,confirm,2.5R,54,0.2777777777777778,-0.026716328252249524,-1.4426817256214743,0.9629537139792741,-0.15001063190021444,0.0052433200468196455,-0.06362075028526701,0.01941419928902229,30,24
US100,M10,short,3,1.0,3,confirm,3.5R,53,0.20754716981132076,-0.10627164533795058,-5.632397202911381,0.8615871297303132,-0.22708965335530928,0.005305187529645982,-0.10154595407800021,-0.1119818556103906,29,24
US100,M10,short,3,1.0,3,confirm,measured,52,0.7692307692307693,0.15704878707673064,8.166536927989993,1.6805447439991663,0.0312902450404737,0.005120223652089349,0.1473389579840489,0.16837692101819277,28,24
US100,M10,short,5,0.5,2,touch,1.5R,156,0.42948717948717946,0.03954282641431741,6.168680920633516,1.066262474290822,-0.1288483641826461,0.004673801143586729,0.057081818021338514,0.022447859911271524,77,79
US100,M10,short,5,0.5,2,touch,2.5R,151,0.33774834437086093,0.1531353709745406,23.12344101715563,1.22638994639502,-0.016544366520839227,0.004621265534452855,0.19391973086709513,0.11394001211676093,74,77
US100,M10,short,5,0.5,2,touch,3.5R,140,0.2357142857142857,-0.02563605337985598,-3.589047473179837,0.9670524372333398,-0.1935527704980017,0.004697789926060598,0.029413023164625147,-0.08228075533142352,71,69
US100,M10,short,5,0.5,2,touch,measured,163,0.6196319018404908,0.04340540412846091,7.075080872939129,1.107044706007425,-0.1215921176297241,0.004802424845833085,0.038161774121385356,0.04871377030846332,82,81
US100,M10,short,5,0.5,2,confirm,1.5R,127,0.4094488188976378,-0.006257936912863859,-0.7947579879337101,0.9897330868186693,-0.15095790846973026,0.005529605786305384,-0.04947616261767766,0.036285004015312206,63,64
US100,M10,short,5,0.5,2,confirm,2.5R,124,0.29838709677419356,0.006424350834744401,0.7966195035083057,1.0089188877828512,-0.13823917191635965,0.005489812701708286,-0.025010176286420265,0.03686095645999907,61,63
