symbol,tf,direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,H2,short,major,2,none,True,break,1.5,53,0.22641509433962265,-0.4414377358490557,-23.396199999999954,0.43482251994144444,18.0,41.39619999999995,0.004551868850877616,-15.396199999999954,-8.0,25,28
US100,H2,short,major,2,none,True,break,2.5,53,0.20754716981132076,-0.2810603773584897,-14.896199999999954,0.6486430387629087,27.5,42.39619999999995,0.004551868850877616,-14.896199999999954,0.0,25,28
US100,H2,short,major,2,none,True,break,3.5,53,0.1509433962264151,-0.3282301886792444,-17.396199999999954,0.6167917138438906,28.0,45.39619999999995,0.004551868850877616,-11.896199999999954,-5.5,25,28
US100,H2,short,major,2,1.0,False,next_open,1.5,110,0.2545454545454545,-0.37382010464723936,-41.12021151119633,0.505292265700534,42.0,83.12021151119633,0.00258360069264201,-24.668804861579957,-16.451406649616377,54,56
US100,H2,short,major,2,1.0,False,next_open,2.5,110,0.20909090909090908,-0.27836555919269396,-30.620211511196334,0.6525177256604088,57.5,88.12021151119633,0.00258360069264201,-23.168804861579957,-7.451406649616377,54,56
US100,H2,short,major,2,1.0,False,next_open,3.5,110,0.16363636363636364,-0.2738201046472394,-30.120211511196334,0.6765448550600122,63.0,93.12021151119633,0.00258360069264201,-27.668804861579957,-2.451406649616377,54,56
US100,H2,short,major,2,1.0,False,break,1.5,73,0.2602739726027397,-0.35474246575342405,-25.896199999999954,0.5239336571304618,28.5,54.39619999999995,0.004404691588920492,-19.896199999999954,-6.0,37,36
US100,H2,short,major,2,1.0,False,break,2.5,73,0.2191780821917808,-0.23830410958904047,-17.396199999999954,0.6969102484136587,40.0,57.39619999999995,0.004404691588920492,-23.396199999999954,6.0,37,36
US100,H2,short,major,2,1.0,False,break,3.5,73,0.1643835616438356,-0.26570136986301307,-19.396199999999954,0.6840814252347871,42.0,61.39619999999995,0.004404691588920492,-23.896199999999954,4.5,37,36
US100,H2,short,major,2,1.0,True,next_open,1.5,76,0.21052631578947367,-0.4824842744944731,-36.66880486157996,0.3955904530303118,24.0,60.66880486157996,0.002741830715230286,-20.668804861579957,-16.0,35,41
