family,symbol,tf,direction,p1,p2,p3,p4,p5,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos
B.GAP,US100,M5,follow,cash,g0.5,sl0.75,2.5R,,351,0.3418803418803419,-0.030155843937614654,-10.584701222102744,0.9509416033199843,-0.2875427569654618,0.004883288171324774,-0.1381055132505488,0.07476153129349547,2
B.GAP,US100,M5,fade,cash,g0.5,sl1.5,fill,,351,0.5783475783475783,0.0008180955973473652,0.28715155466892517,1.0024589604145728,-0.12787536091657925,0.009766576342649554,0.00657898986469099,-0.004780975797318078,2
B.GAP,US100,M5,fade,cash,g0.5,sl1.5,half,,351,0.6809116809116809,-0.02990600192017902,-10.497006673982836,0.8799148625961821,-0.15859945843410564,0.009766576342649554,-0.012374264252706274,-0.04694527504643064,2
B.GAP,US100,M5,follow,cash,g0.5,sl1.5,1.5R,,351,0.4415954415954416,0.020961024179773836,7.357319487100616,1.0489745334521448,-0.10773243233415282,0.009766576342649554,-0.03174661595942933,0.07218811262967355,2
B.GAP,US100,M5,follow,cash,g0.5,sl1.5,2.5R,,351,0.396011396011396,0.017585429821390098,6.172485867307924,1.0372389163272513,-0.11110802669253654,0.009766576342649554,-0.031686067914736674,0.06547289672223242,2
B.GAP,US100,M5,fade,cash,g1.0,sl0.75,fill,,334,0.45808383233532934,0.028067634462970517,9.374589910632153,1.0566579963176144,-0.1853479195285016,0.0051021555205018635,0.07730661418283144,-0.02058516692689204,3
B.GAP,US100,M5,fade,cash,g1.0,sl0.75,half,,334,0.5748502994011976,-0.02182480236458245,-7.289483989770538,0.9440720235292877,-0.2352403563560546,0.0051021555205018635,0.022837874144586944,-0.06595578034388076,2
B.GAP,US100,M5,follow,cash,g1.0,sl0.75,1.5R,,334,0.4041916167664671,-0.050517670019679224,-16.87290178657286,0.9086051809234205,-0.2639332240111514,0.0051021555205018635,-0.1391545172925046,0.037063976690374444,2
B.GAP,US100,M5,follow,cash,g1.0,sl0.75,2.5R,,334,0.3502994011976048,-0.012229644377553094,-4.0847012221027335,0.9797543697639801,-0.22564519836902527,0.0051021555205018635,-0.14392923971292199,0.11790209863239473,2
B.GAP,US100,M5,fade,cash,g1.0,sl1.5,fill,,334,0.5838323353293413,0.011837779105794772,3.953818221335454,1.036684963681839,-0.09486999788994108,0.010204311041003734,0.028944770561796437,-0.005065557690016408,2
B.GAP,US100,M5,fade,cash,g1.0,sl1.5,half,,334,0.6916167664670658,-0.012466087846256845,-4.163673340649786,0.9469007521055467,-0.11917386484199267,0.010204311041003734,0.013208347094067156,-0.03783487475157698,2
B.GAP,US100,M5,follow,cash,g1.0,sl1.5,1.5R,,334,0.44011976047904194,0.013045866727846555,4.3573194871007495,1.0308532042019274,-0.09366191026788928,0.010204311041003734,-0.05115761783723518,0.07648502409572494,1
B.GAP,US100,M5,follow,cash,g1.0,sl1.5,2.5R,,334,0.39221556886227543,-0.014453635127821008,-4.827514132692217,0.9692031764922261,-0.12116141212355686,0.010204311041003734,-0.07519090210391376,0.0455605691461754,1
B.GAP,US100,M5,fade,week,g0.5,sl0.75,fill,,67,0.40298507462686567,-0.041762381473162094,-2.7980795587018603,0.9272969291792837,-0.42092229821068466,0.003980007194174482,-0.010101010101006593,-0.07249253604025416,2
B.GAP,US100,M5,fade,week,g0.5,sl0.75,half,,67,0.5671641791044776,-0.03213534265334164,-2.15306795777389,0.9216678846033404,-0.4112952593908642,0.003980007194174482,-0.0909090909090809,0.02490976594781711,2
