Date,Open,High,Low,Close,Volume
2006-06-22,16.004810,16.004810,15.728205,15.799410,290100
2006-06-23,15.617724,15.856140,15.617724,15.705416,167400
2006-06-26,15.757484,15.845177,15.719118,15.784888,371700
2006-06-27,15.771181,15.771181,15.362858,15.401224,311700
2006-06-28,15.179251,15.379303,15.132664,15.373822,486600
2006-06-29,15.442335,15.921911,15.373825,15.886286,636300
2006-06-30,15.954801,15.963022,15.743786,15.880809,153600
2006-07-03,15.957531,16.031523,15.921906,16.012341,94200
2006-07-05,15.836959,15.842441,15.568398,15.579360,231300
2006-07-06,15.677999,15.757472,15.510833,15.565640,125400
2006-07-07,15.414930,15.469739,15.209398,15.316274,372900
2006-07-10,15.343678,15.456034,14.847659,14.927133,450300
2006-07-11,14.825731,15.321750,14.825731,15.291605,376800
2006-07-12,15.225836,15.291606,14.877801,14.899724,682200
2006-07-13,14.675007,15.066889,14.647603,14.683228,719400
2006-07-14,14.611976,14.776403,14.494138,14.603755,776400
2006-07-17,14.680490,14.773665,14.524287,14.606499,333900
2006-07-18,14.675007,14.718854,14.209133,14.562649,538500
2006-07-19,14.631164,15.028527,14.595537,14.913427,405600
2006-07-20,15.069632,15.091556,14.548950,14.554431,579900
2006-07-21,14.170772,14.225580,13.918652,13.954277,703500
2006-07-24,14.154332,14.450299,14.154332,14.362604,952500
2006-07-25,14.502362,14.721598,14.420150,14.606499,542400
2006-07-26,14.387260,14.803805,14.387260,14.653082,465300
2006-07-27,14.842181,14.957279,14.688717,14.716121,1578900
2006-07-28,14.839439,15.190216,14.839439,15.154589,1031400
2006-07-31,15.094299,15.277906,15.072374,15.198436,551100
2006-08-01,15.017563,15.017563,14.751741,14.886023,560400
2006-08-02,14.921653,15.171032,14.921653,15.050454,241800
2006-08-03,15.009340,15.382039,14.976456,15.302567,1366800
2006-08-04,15.502619,15.584832,15.001121,15.168287,611400
2006-08-07,15.097031,15.184725,15.017559,15.086070,228000
2006-08-08,15.129922,15.245020,14.910688,15.001122,376200
2006-08-09,15.313531,15.453293,15.044968,15.066893,457200
2006-08-10,15.044968,15.316271,14.998382,15.261463,208800
2006-08-11,15.113482,15.113482,14.822997,14.864102,379200
2006-08-14,15.006601,15.297088,14.979197,15.066893,156900
2006-08-15,15.351899,15.639644,15.321755,15.625942,263700
2006-08-16,15.716377,16.215136,15.636905,16.138403,1693800
2006-08-17,16.130172,16.420657,16.127431,16.174017,1537200
2006-08-18,16.058924,16.204167,15.902719,16.182243,360900
2006-08-21,15.982190,15.982190,15.801321,15.913679,330600
2006-08-22,15.894506,16.080856,15.823256,15.886286,550500
2006-08-23,16.091816,16.094557,15.675270,15.779406,968100
2006-08-24,15.798592,15.886286,15.672532,15.886286,485700
2006-08-25,15.836960,16.053454,15.801334,15.894508,467700
2006-08-28,15.910945,16.124699,15.910945,16.121960,471600
2006-08-29,16.174023,16.415182,16.050704,16.415182,822900
2006-08-30,16.497402,16.735819,16.374083,16.735819,702000
2006-08-31,16.675531,16.675531,16.486442,16.565914,395700
2006-09-01,16.702928,16.702928,16.343930,16.415182,329400
2006-09-05,16.341195,16.623458,16.283646,16.612497,806700
2006-09-06,16.415180,16.415180,16.078107,16.080847,226200
2006-09-07,15.949314,16.242540,15.861620,16.026047,655800
2006-09-08,16.072626,16.220610,16.028781,16.182243,158100
2006-09-11,16.163069,16.590577,16.163069,16.469997,451800
2006-09-12,16.593312,17.064667,16.579612,17.026300,1234500
2006-09-13,16.998898,17.100293,16.837212,16.944090,211500
2006-09-14,16.875580,17.012601,16.834474,16.998899,414300
2006-09-15,17.097548,17.289379,16.908459,16.979710,1365900
2006-09-18,17.001634,17.338707,17.001634,17.190723,377100
2006-09-19,17.122214,17.122214,16.730332,16.908461,1032000
2006-09-20,17.059183,17.113992,16.974230,17.045481,497100
2006-09-21,17.072886,17.086588,16.708409,16.716629,279600
2006-09-22,16.645385,16.689230,16.494660,16.519323,252600
2006-09-25,16.565910,16.952311,16.431629,16.922165,773400
2006-09-26,16.839953,16.944089,16.708412,16.911203,241800
2006-09-27,16.968796,17.122384,16.796009,16.856348,597600
